#Network,Station,Location,Channel,Latitude,Longitude,Elevation,Depth,Azimuth,Dip,SensorDescription,Scale,ScaleFreq,ScaleUnits,SampleRate,StartTime,EndTime
BL,APOB,50.0,BHZ,-18.54711,-52.02507,580.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,2005-10-26T20:02:40.117,2006-04-27T18:28:05.326
BL,APOB,50.0,BLE,-18.54711,-52.02507,580.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,2005-11-17T19:29:59.622,2006-04-25T19:00:06.586
BL,APOB,50.0,BLN,-18.54711,-52.02507,580.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,2005-11-17T19:29:59.622,2006-04-25T19:00:06.586
BL,APOB,50.0,BLZ,-18.54711,-52.02507,580.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,2005-11-17T19:29:59.622,2006-04-25T19:00:06.586
BL,APOB2,10.0,BHE,-18.50813,-52.07398,657.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,2006-05-01T20:30:36.215,2006-09-06T17:56:01.843
BL,APOB2,10.0,BHN,-18.50813,-52.07398,657.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,2006-05-01T20:30:36.215,2006-09-06T17:56:01.843
BL,APOB2,10.0,BHZ,-18.50813,-52.07398,657.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,2006-05-01T20:30:36.215,2006-09-06T17:56:01.843
BL,APOB2,10.0,BLE,-18.50813,-52.07398,657.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,2006-05-01T23:59:46.031,2006-09-06T17:56:02.058
BL,APOB2,10.0,BLN,-18.50813,-52.07398,657.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,2006-05-01T23:59:46.031,2006-09-06T17:56:02.058
BL,APOB2,10.0,BLZ,-18.50813,-52.07398,657.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,2006-05-01T23:59:46.031,2006-09-06T17:56:02.058
BL,APOB2,50.0,BHE,-18.50813,-52.07398,657.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,2006-05-01T23:59:58.036,2006-09-06T17:56:10.823
BL,APOB2,50.0,BHN,-18.50813,-52.07398,657.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,2006-05-01T23:59:58.036,2006-09-06T17:56:10.823
BL,APOB2,50.0,BHZ,-18.50813,-52.07398,657.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,2006-05-01T23:59:58.036,2006-09-06T17:56:10.823
BL,APOB2,50.0,BLE,-18.50813,-52.07398,657.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,2006-05-01T23:59:59.696,2006-08-31T04:40:06.243
BL,APOB2,50.0,BLN,-18.50813,-52.07398,657.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,2006-05-01T23:59:59.696,2006-08-31T04:40:06.243
BL,APOB2,50.0,BLZ,-18.50813,-52.07398,657.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,2006-05-01T23:59:59.696,2006-08-31T04:40:06.243
BL,AQDA,2.0,HHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/200/1),86785600.0,1.0,M/S,200.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,2.0,HHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/200/1),86785600.0,1.0,M/S,200.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,2.0,HHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/200/1),86785600.0,1.0,M/S,200.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,2.0,SHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/200/1),86785600.0,1.0,M/S,200.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,2.0,SHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/200/1),86785600.0,1.0,M/S,200.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,2.0,SHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/200/1),86785600.0,1.0,M/S,200.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,10.0,BHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,10.0,BHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/10/1),86785600.0,1.0,M/S,10.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,10.0,BHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,10.0,BHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,10.0,BHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/10/1),86785600.0,1.0,M/S,10.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,10.0,BHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,10.0,BHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,10.0,BHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/10/1),86785600.0,1.0,M/S,10.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,10.0,BHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,10.0,SHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,10.0,SHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/10/1),86785600.0,1.0,M/S,10.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,10.0,SHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,10.0,SHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,10.0,SHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/10/1),86785600.0,1.0,M/S,10.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,10.0,SHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,10.0,SHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2004-06-23T20:38:00,2004-10-19T21:14:00
