EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|Hora|geometry
usp2023wlob|2023-11-16 09:22:53.847286|-16.478655|-40.664055|0.0|JROBERTO||USP|usp2023wlob|mR|2.399970443|jroberto|Rubim/MG|earthquake|9|POINT (-40.664055 -16.478655)
usp2023wksv|2023-11-15 22:39:38.426033|-18.570667|-44.203926|0.0|JROBERTO||USP|usp2023wksv|mR|2.412834554|jroberto|Monjolos/MG|earthquake|22|POINT (-44.203926 -18.570667)
usp2023wccv|2023-11-11 05:29:09.512468|-20.068808|-49.049095|0.0|JROBERTO||USP|usp2023wccv|mR|2.380920148|jroberto|Frutal/MG|earthquake|5|POINT (-49.049095 -20.068808)
usp2023vrca|2023-11-05 04:35:23.611865|-13.071293|-43.470352|0.0|JROBERTO||USP|usp2023vrca|mR|2.73602357|jroberto|Sitio do Mato/BA|earthquake|4|POINT (-43.470352 -13.071293)
usp2023vmkj|2023-11-02 15:07:14.418698|-8.962841|-35.766403|0.0|JROBERTO||USP|usp2023vmkj|mR|2.311320234|jroberto|Colonia Leopoldina/AL|earthquake|15|POINT (-35.766403 -8.962841)
usp2023uzfa|2023-10-26 09:38:41.848424|-9.83085|-39.922634|0.0|JROBERTO||USP|usp2023uzfa|mR|2.328737819|jroberto|Uaua/BA|earthquake|9|POINT (-39.922634 -9.83085)
usp2023ucon|2023-10-14 00:19:25.688117|-19.726587|-46.984692|0.0|BRUNO||USP|usp2023ucon|mR|2.027038084|bruno|Araxa/MG|earthquake|0|POINT (-46.984692 -19.726587)
usp2023twin|2023-10-10 14:28:14.740770|-8.069502|-37.867847|0.0|JROBERTO||USP|usp2023twin|mR|2.098636624|jroberto|Custodia/PE|earthquake|14|POINT (-37.867847 -8.069502)
usp2023tmvm|2023-10-05 09:40:12.202006|-9.841134|-39.894962|0.0|JROBERTO||USP|usp2023tmvm|MLv|2.172523199|jroberto|Uaua/BA|earthquake|9|POINT (-39.894962 -9.841134)
usp2023tivt|2023-10-03 05:15:34.262748|-9.829657|-39.891674|0.0|JROBERTO||USP|usp2023tivt|mR|2.055739078|jroberto|Uaua/BA|earthquake|5|POINT (-39.891674 -9.829657)
usp2023tgch|2023-10-01 17:09:03.742244|-20.627108|-44.540844|0.0|JROBERTO||USP|usp2023tgch|mR|2.612345018|jroberto|Passa Tempo/MG|earthquake|17|POINT (-44.540844 -20.627108)
usp2023snbz|2023-09-21 07:24:32.369999|-13.540833|-42.644|0.0|MASSUMPCAO||USP|usp2023snbz|mR|3.097721525|marcelo|Tanque Novo/BA|earthquake|7|POINT (-42.644 -13.540833)
usp2023rmwj|2023-09-06 23:02:19.449999|-24.295667|-48.104|0.0|MASSUMPCAO||USP|usp2023rmwj|mR|2.312829609|marcelo|Sete Barras/SP|earthquake|23|POINT (-48.104 -24.295667)
usp2023rifj|2023-09-04 09:54:56.961107|-9.870104|-39.857025|0.0|JROBERTO||USP|usp2023rifj|mR|2.302972393|jroberto|Uaua/BA|earthquake|9|POINT (-39.857025 -9.870104)
