evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
"usp2024kpvk";2024-05-30T23:13:19.411Z;-68.930;-18.042;141.0;4.8;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024kono";2024-05-30T06:06:27.837Z;-67.233;-24.218;180.0;4.4;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024knun";2024-05-29T20:29:14.669Z;-39.774;-4.072;0.0;2.2;"mR";"Tejucuoca/CE";"jroberto";M
"usp2024kndp";2024-05-29T11:56:34.027Z;-68.336;-21.714;120.0;4.6;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024klwv";2024-05-28T19:23:26.565Z;-40.526;-10.465;0.0;2.4;"mR";"Campo Formoso/BA";"jroberto";M
"usp2024klss";2024-05-28T17:18:30.469Z;-42.847;10.628;10.0;4.3;"mb";"Northern Mid Atlantic Ridge";"cleusa";M
"usp2024kkxt";2024-05-28T06:42:02.916Z;-68.196;-31.464;258.0;4.5;"mb";"San Juan Province, Argentina";"jroberto";M
"usp2024kjwk";2024-05-27T16:53:48.151Z;-40.875;-2.825;0.0;2.4;"mR";"Camocim/CE";"jroberto";M
"usp2024kjds";2024-05-27T07:28:07.090Z;-72.070;-15.830;148.7;4.3;"mb";"Southern Peru";"jroberto";M
"usp2024kizg";2024-05-27T05:12:32.090Z;-72.987;6.718;159.5;4.7;"mb";"Northern Colombia";"jroberto";M
"usp2024kiui";2024-05-27T02:42:52.737Z;-66.947;-23.976;228.0;4.1;"mb";"Jujuy Province, Argentina";"jroberto";M
"usp2024kipp";2024-05-27T00:18:55.074Z;-69.575;-32.505;89.0;4.5;"mb";"Mendoza Province, Argentina";"jroberto";M
"usp2024khvy";2024-05-26T14:24:08.528Z;-69.163;-24.159;97.0;5.0;"mb";"Northern Chile";"cleusa";M
"usp2024khus";2024-05-26T13:46:43.117Z;-39.875;-9.825;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2024khbv";2024-05-26T04:13:39.278Z;-75.621;-15.678;10.0;4.6;"mb";"Near Coast of Peru";"cleusa";M
"usp2024kgoh";2024-05-25T21:24:03.725Z;-68.242;-21.760;99.1;4.4;"mb";"Chile-Bolivia Border Region";"jroberto";M
"usp2024kgcn";2024-05-25T15:26:48.465Z;-67.105;-24.102;189.0;4.3;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024kfvu";2024-05-25T12:02:52.437Z;-73.170;-37.837;10.0;4.8;"mb";"Near Coast of Central Chile";"jroberto";M
"usp2024kdwf";2024-05-24T09:58:50.149Z;-74.617;-9.963;10.0;4.9;"mb";"Central Peru";"cleusa";M
"usp2024kcox";2024-05-23T17:09:19.314Z;-67.157;-24.229;183.0;4.3;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024kbmk";2024-05-23T02:46:12.349Z;-43.846;-18.915;0.0;2.1;"mR";"Congonhas do Norte/MG";"marcelo";M
"usp2024kayf";2024-05-22T19:36:05.085Z;-66.888;-24.154;185.6;4.3;"mb";"Salta Province, Argentina";"marcelo";M
"usp2024kasi";2024-05-22T16:38:54.160Z;-70.219;-15.398;222.0;4.4;"mb";"Southern Peru";"cleusa";M
"usp2024kact";2024-05-22T08:44:15.594Z;-78.806;2.318;10.0;4.7;"mb";"Near West Coast of Colombia";"jroberto";M
"usp2024jzwm";2024-05-22T05:34:20.993Z;-78.874;2.438;10.0;5.0;"mb";"Near West Coast of Colombia";"cleusa";M
"usp2024jzaq";2024-05-21T18:32:07.857Z;-39.828;-9.906;0.0;2.3;"MLv";"Uaua/BA";"jroberto";M
"usp2024jyzy";2024-05-21T18:11:15.656Z;-39.863;-9.878;0.0;2.7;"mR";"Uaua/BA";"jroberto";M
"usp2024jylp";2024-05-21T10:57:45.803Z;-39.881;-9.856;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2024jygm";2024-05-21T08:21:10.017Z;-68.315;-21.880;108.0;5.4;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024jxvi";2024-05-21T02:43:12.408Z;-79.555;-3.674;91.0;5.1;"mb";"Near Coast of Ecuador";"cleusa";M
"usp2024jxps";2024-05-20T23:53:49.920Z;-70.275;-14.914;230.7;5.1;"mb";"Central Peru";"jroberto";M
"usp2024jxcw";2024-05-20T17:23:41.166Z;-73.704;-14.581;84.7;4.5;"mb";"Central Peru";"jroberto";M
"usp2024jwyv";2024-05-20T15:21:36.009Z;-40.809;-3.105;0.0;2.2;"mR";"Granja/CE";"jroberto";M
"usp2024jvjp";2024-05-19T18:31:01.083Z;-65.701;10.681;10.0;4.9;"mb";"Near Coast of Venezuela";"jroberto";M
"usp2024juxi";2024-05-19T12:19:34.328Z;-67.173;-24.183;201.0;4.0;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024julm";2024-05-19T06:20:07.930Z;-51.035;-22.732;0.0;2.1;"mR";"Iepe/SP";"jroberto";M
"usp2024jsuz";2024-05-18T08:52:42.120Z;-69.442;-18.692;123.0;4.2;"mb";"Northern Chile";"cleusa";M
"usp2024jsqa";2024-05-18T06:21:48.546Z;-41.733;-16.949;0.0;2.5;"mR";"Carai/MG";"jroberto";M
"usp2024jqtd";2024-05-17T05:39:58.609Z;-71.788;-32.386;10.0;4.8;"mb";"Near Coast of Central Chile";"cleusa";M
"usp2024jowu";2024-05-16T05:13:54.821Z;-76.122;-14.369;35.0;5.2;"mb";"Near Coast of Peru";"cleusa";M
"usp2024jmcx";2024-05-14T16:54:56.559Z;-60.468;12.968;26.5;4.5;"mb";"Windward Islands";"jroberto";M
"usp2024jlby";2024-05-14T03:18:28.651Z;-72.619;-28.777;10.0;4.8;"mb";"Off Coast of Central Chile";"cleusa";M
"usp2024jkcb";2024-05-13T14:13:10.402Z;-74.673;-9.960;10.0;4.8;"mb";"Central Peru";"cleusa";M
"usp2024jjsi";2024-05-13T09:18:51.826Z;-72.928;-35.358;10.0;5.2;"mb";"Near Coast of Central Chile";"cleusa";M
"usp2024jjlx";2024-05-13T06:03:09.016Z;-51.150;-29.207;0.0;2.2;"mR";"Caxias do Sul/RS";"bruno";M
"usp2024jjlt";2024-05-13T05:58:46.933Z;-51.149;-29.283;0.0;2.2;"mR";"Caxias do Sul/RS";"bruno";M
"usp2024jjlb";2024-05-13T05:37:48.025Z;-51.520;-29.017;0.0;2.2;"mR";"Veranopolis/RS";"bruno";M
"usp2024jjjl";2024-05-13T04:48:43.054Z;-51.560;-29.066;0.0;2.4;"mR";"Bento Goncalves/RS";"bruno";M
"usp2024jjba";2024-05-13T00:33:51.754Z;-68.508;-33.385;10.0;4.6;"mb";"Mendoza Province, Argentina";"jroberto";M
"usp2024jivc";2024-05-12T21:33:47.458Z;-73.126;-28.061;10.0;4.4;"mb";"Off Coast of Central Chile";"cleusa";M
"usp2024jhyv";2024-05-12T10:19:06.678Z;-73.391;11.896;10.0;5.0;"mb";"Near North Coast of Colombia";"jroberto";M
"usp2024jhgl";2024-05-12T01:01:10.045Z;-73.135;11.602;72.9;4.8;"mb";"Near North Coast of Colombia";"jroberto";M
"usp2024jfka";2024-05-11T00:33:40.287Z;-68.128;-24.910;151.0;4.1;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024jesa";2024-05-10T15:27:36.306Z;-66.577;-22.880;220.0;4.6;"mb";"Jujuy Province, Argentina";"cleusa";M
"usp2024jemh";2024-05-10T12:34:49.005Z;-75.610;-8.836;117.0;4.8;"mb";"Central Peru";"cleusa";M
"usp2024jdko";2024-05-09T22:33:31.158Z;-66.616;-19.550;261.0;4.6;"mb";"Southern Bolivia";"cleusa";M
"usp2024jcsz";2024-05-09T13:40:44.944Z;-69.556;-17.759;150.0;4.6;"mb";"Peru-Bolivia Border Region";"cleusa";M
"usp2024jcqq";2024-05-09T12:29:29.782Z;-69.545;-24.587;98.0;4.5;"mb";"Northern Chile";"cleusa";M
"usp2024jaqf";2024-05-08T10:00:59.911Z;-68.072;-21.352;112.0;5.1;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024jahm";2024-05-08T05:36:06.000Z;-40.080;-14.711;0.0;2.0;"mR";"Iguai/BA";"jroberto";M
"usp2024ixjf";2024-05-06T15:03:53.792Z;-64.772;-17.198;10.0;4.9;"mb";"Central Bolivia";"marcelo";M
"usp2024ixjd";2024-05-06T15:01:50.733Z;-75.355;7.854;40.0;4.9;"mb";"Northern Colombia";"jroberto";M
"usp2024iwsh";2024-05-06T06:30:32.722Z;-68.561;-20.736;116.0;5.0;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024iwjh";2024-05-06T01:58:02.104Z;-71.907;-31.108;10.0;4.6;"mb";"Near Coast of Central Chile";"cleusa";M
"usp2024iwbk";2024-05-05T21:59:33.920Z;-63.654;-22.211;530.0;4.4;"mb";"Salta Province, Argentina";"cleusa";M
"usp2024ivqc";2024-05-05T16:16:23.000Z;-59.560;2.650;0.0;2.6;"MLv";"Guyana";"marcelo";M
"usp2024ivcp";2024-05-05T09:27:11.531Z;-75.278;-5.840;10.0;4.4;"mb";"Northern Peru";"jroberto";M
"usp2024iutb";2024-05-05T04:38:19.959Z;-71.393;-13.436;10.0;5.0;"mb";"Central Peru";"cleusa";M
"usp2024itzh";2024-05-04T18:40:15.094Z;-66.691;-23.187;210.0;4.3;"mb";"Jujuy Province, Argentina";"jroberto";M
"usp2024itfe";2024-05-04T08:29:11.186Z;-69.941;-15.479;204.0;4.7;"mb";"Peru-Bolivia Border Region";"cleusa";M
