EventID;Time;Longitude;Latitude;depth;magnitude;magnitudet;region;author;mode
"usp2024bchq";2024-01-16T11:40:26.488Z;-44.304;-19.583;0.0;2.3;"mR";"Sete Lagoas/MG";"bruno";M
"usp2024bbzt";2024-01-16T07:41:07.057Z;-44.231;-19.532;0.0;2.4;"mR";"Sete Lagoas/MG";"bruno";M
"usp2024bbvi";2024-01-16T05:26:39.407Z;-44.223;-19.514;0.0;2.7;"mR";"Sete Lagoas/MG";"bruno";M
"usp2024bbax";2024-01-15T19:07:49.792Z;-46.938;-17.184;0.0;2.2;"mR";"Paracatu/MG";"jroberto";M
"usp2024azns";2024-01-14T23:19:31.000Z;-44.225;-19.527;0.0;2.3;"mR";"Sete Lagoas/MG";"marcelo";M
"usp2024avgb";2024-01-12T14:54:31.081Z;-45.372;-20.087;0.0;3.0;"mR";"Santo Antonio do Monte/MG";"jroberto";M
"usp2024alan";2024-01-07T00:45:13.000Z;-61.165;4.408;0.0;4.5;"mR";"Pacaraima/RR";"marcelo";M
"usp2023zohi";2023-12-30T13:59:34.628Z;-55.638;-16.697;0.0;2.8;"mR";"Barao de Melgaco/MT";"jroberto";M
"usp2023zluw";2023-12-29T05:25:39.801Z;-58.883;-13.707;0.0;3.1;"mR";"Campos de Julio/MT";"jroberto";M
"usp2023ywir";2023-12-20T18:14:19.042Z;-52.319;-7.525;0.0;3.2;"mR";"Sao Felix do Xingu/PA";"jroberto";M
"usp2023yope";2023-12-16T12:25:49.745Z;-44.143;-19.528;0.0;2.2;"mR";"Capim Branco/MG";"jroberto";M
"usp2023yokp";2023-12-16T10:06:48.763Z;-46.521;-21.702;0.0;2.8;"mR";"Pocos de Caldas/MG";"jroberto";M
"usp2023yncs";2023-12-15T17:06:03.707Z;-56.518;-17.209;0.0;2.8;"mR";"Pocone/MT";"jroberto";M
"usp2023ykkc";2023-12-14T05:19:03.626Z;-35.775;-8.227;0.0;2.2;"MLv";"Bezerros/PE";"jroberto";M
"usp2023ykeq";2023-12-14T02:33:58.480Z;-57.258;-21.400;0.0;2.9;"mR";"Caracol/MS";"jroberto";M
"usp2023ykbh";2023-12-14T00:52:18.908Z;-48.866;-20.049;0.0;2.3;"mR";"Frutal/MG";"jroberto";M
"usp2023ybeh";2023-12-09T04:10:03.905Z;-39.910;-9.758;0.0;1.8;"mR";"Uaua/BA";"jroberto";M
"usp2023xxot";2023-12-07T04:53:57.147Z;-44.167;-23.204;0.0;2.6;"mR";"Margem Continental/RJ";"jroberto";M
"usp2023xtqq";2023-12-05T01:18:27.989Z;-53.074;-28.480;0.0;2.5;"mR";"Saldanha Marinho/RS";"bruno";M
"usp2023xogg";2023-12-02T02:23:31.426Z;-70.070;-11.179;53.9;4.8;"mb";"Peru-Brazil Border Region";"jroberto";M
"usp2023xmoi";2023-12-01T04:12:00.000Z;-45.145;-18.580;0.0;3.1;"mR";"Morada Nova de Minas/MG";"marcelo";M
"usp2023xjvl";2023-11-29T16:22:59.923Z;-36.681;-9.681;0.0;1.7;"mR";"Arapiraca/AL";"jroberto";M
"usp2023xiin";2023-11-28T20:42:50.717Z;-34.976;-8.097;0.0;1.8;"mR";"Jaboatao dos Guararapes/PE";"jroberto";M
"usp2023xifn";2023-11-28T19:12:17.687Z;-35.716;-9.630;0.0;1.6;"mR";"Maceió/AL";"cleusa";M
"usp2023xhsr";2023-11-28T12:43:11.530Z;-37.265;-9.750;0.0;2.2;"MLv";"Belo Monte/AL";"jroberto";M
"usp2023xhfc";2023-11-28T05:50:40.406Z;-35.752;-9.612;0.0;1.7;"mR";"Maceio/AL";"bruno";M
"usp2023xfhn";2023-11-27T04:48:16.460Z;-35.735;-9.651;0.0;1.4;"mR";"Maceió/AL";"cleusa";M
"usp2023xdio";2023-11-26T03:03:08.530Z;-50.605;-5.879;0.0;3.0;"mR";"Parauapebas/PA";"jroberto";M
"usp2023wzwy";2023-11-24T05:46:13.688Z;-36.673;-9.741;0.0;1.5;"mR";"Arapiraca/AL";"bruno";M
"usp2023wssz";2023-11-20T07:49:56.878Z;-59.245;2.593;0.0;3.8;"mR";"Guyana";"jroberto";M
"usp2023wsrg";2023-11-20T06:57:13.957Z;-50.812;-7.543;0.0;2.8;"mR";"Cumaru do Norte/PA";"jroberto";M
"usp2023wrav";2023-11-19T09:30:38.712Z;-54.571;-29.434;0.0;2.2;"mR";"Jaguari/RS";"jroberto";M
"usp2023wqop";2023-11-19T03:20:20.870Z;-54.575;-29.430;0.0;2.0;"mR";"Jaguari/RS";"jroberto";M
"usp2023woox";2023-11-18T01:13:38.148Z;-38.976;-4.044;0.0;2.1;"mR";"Palmacia/CE";"bruno";M
"usp2023wmcn";2023-11-16T16:41:36.714Z;-37.867;-8.016;0.0;2.0;"mR";"Flores/PE";"jroberto";M
"usp2023wlob";2023-11-16T09:22:53.847Z;-40.664;-16.479;0.0;2.4;"mR";"Rubim/MG";"jroberto";M
"usp2023wksv";2023-11-15T22:39:38.426Z;-44.204;-18.571;0.0;2.4;"mR";"Monjolos/MG";"jroberto";M
"usp2023whlr";2023-11-14T03:38:42.526Z;-36.941;-15.178;0.0;2.9;"mR";"Oceano Atlântico Sul-rg.-Una/BA";"jroberto";M
"usp2023wccv";2023-11-11T05:29:09.512Z;-49.049;-20.069;0.0;2.4;"mR";"Frutal/MG";"jroberto";M
"usp2023vuzo";2023-11-07T07:52:51.678Z;-43.867;-20.264;0.0;2.1;"mR";"Itabirito/MG";"jroberto";M
"usp2023vrca";2023-11-05T04:35:23.611Z;-43.470;-13.071;0.0;2.7;"mR";"Sitio do Mato/BA";"jroberto";M
"usp2023vmsm";2023-11-02T19:13:12.499Z;-46.511;-14.003;0.0;2.0;"mR";"Guarani de Goias/GO";"jroberto";M
"usp2023vmkj";2023-11-02T15:07:14.418Z;-35.766;-8.963;0.0;2.3;"mR";"Colonia Leopoldina/AL";"jroberto";M
"usp2023vbkt";2023-10-27T14:48:41.845Z;-45.575;-20.352;0.0;2.5;"mR";"Arcos/MG";"jroberto";M
"usp2023vaxx";2023-10-27T08:20:13.939Z;-44.070;-19.513;0.0;2.2;"mR";"Matozinhos/MG";"jroberto";M
"usp2023uzxy";2023-10-26T19:12:47.492Z;-56.661;-20.541;0.0;2.1;"MLv";"Bodoquena/MS";"jroberto";M
"usp2023uzfa";2023-10-26T09:38:41.848Z;-39.923;-9.831;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2023uyom";2023-10-26T01:18:06.709Z;-36.148;-8.333;0.0;2.5;"mR";"Sao Caitano/PE";"jroberto";M
"usp2023uxuf";2023-10-25T15:03:14.147Z;-39.258;-10.949;0.0;2.2;"mR";"Quijingue/BA";"jroberto";M
"usp2023udsb";2023-10-14T15:14:20.081Z;-43.843;-12.913;0.0;3.3;"mR";"Serra Dourada/BA";"jroberto";M
"usp2023ucon";2023-10-14T00:19:25.688Z;-46.985;-19.727;0.0;2.0;"mR";"Araxa/MG";"bruno";M
"usp2023tyep";2023-10-11T14:46:03.896Z;-36.193;-8.361;0.0;2.3;"MLv";"Sao Caitano/PE";"jroberto";M
"usp2023twin";2023-10-10T14:28:14.074Z;-37.868;-8.070;0.0;2.1;"mR";"Custodia/PE";"jroberto";M
"usp2023tsoi";2023-10-08T12:52:07.717Z;-57.266;-16.996;0.0;2.5;"M";"Pocone/MT";"jroberto";M
"usp2023tmvm";2023-10-05T09:40:12.202Z;-39.895;-9.841;0.0;2.2;"MLv";"Uaua/BA";"jroberto";M
"usp2023tlto";2023-10-04T19:33:57.538Z;-56.183;-20.496;0.0;1.8;"mR";"Miranda/MS";"jroberto";M
"usp2023tivt";2023-10-03T05:15:34.262Z;-39.892;-9.830;0.0;2.1;"mR";"Uaua/BA";"jroberto";M
"usp2023tgch";2023-10-01T17:09:03.742Z;-44.541;-20.627;0.0;2.6;"mR";"Passa Tempo/MG";"jroberto";M
"usp2023tffw";2023-10-01T05:48:57.869Z;-48.843;-13.530;0.0;3.0;"mR";"Trombas/GO";"marcelo";M
"usp2023sydt";2023-09-27T08:47:49.056Z;-48.629;-13.733;0.0;2.8;"mR";"Campinacu/GO";"jroberto";M
"usp2023svvs";2023-09-26T02:27:59.545Z;-39.843;-9.923;0.0;2.5;"mR";"Uaua/BA";"jroberto";M
"usp2023spdb";2023-09-22T10:14:54.017Z;-73.054;-10.056;223.0;4.5;"mb";"Central Peru";"jroberto";M
"usp2023snbz";2023-09-21T07:24:32.369Z;-42.644;-13.541;0.0;3.1;"mR";"Tanque Novo/BA";"marcelo";M
"usp2023siys";2023-09-19T01:13:35.783Z;-48.625;-20.982;0.0;2.2;"mR";"Monte Azul Paulista/SP";"jroberto";M
"usp2023sgkm";2023-09-17T15:45:26.552Z;-39.810;-9.974;0.0;2.7;"mR";"Uaua/BA";"jroberto";M
"usp2023rmwj";2023-09-06T23:02:19.449Z;-48.104;-24.296;0.0;2.3;"mR";"Sete Barras/SP";"marcelo";M
"usp2023rkxn";2023-09-05T21:20:39.000Z;-58.172;-22.435;0.0;2.9;"mR";"Paraguay";"marcelo";M
"usp2023rifj";2023-09-04T09:54:56.961Z;-39.857;-9.870;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2023riex";2023-09-04T09:40:23.759Z;-39.779;-9.902;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2023refs";2023-09-02T05:31:55.197Z;-44.806;-20.621;0.0;2.1;"mR";"Oliveira/MG";"jroberto";M
"usp2023rbff";2023-08-31T13:53:14.884Z;-39.755;-9.783;0.0;2.2;"mR";"Uaua/BA";"jroberto";M
"usp2023rbds";2023-08-31T13:07:24.482Z;-39.775;-9.915;0.0;2.5;"mR";"Uaua/BA";"jroberto";M
"usp2023qxts";2023-08-29T16:39:14.918Z;-44.156;-19.406;0.0;2.3;"mR";"Prudente de Morais/MG";"jroberto";M
"usp2023qwtv";2023-08-29T03:35:17.280Z;-35.224;-8.111;0.0;2.0;"mR";"Vitoria de Santo Antao/PE";"jroberto";M
"usp2023qvtk";2023-08-28T14:14:08.850Z;-38.225;-5.079;0.0;2.1;"mR";"Limoeiro do Norte/CE";"jroberto";M
"usp2023qqrm";2023-08-25T19:34:39.932Z;-36.695;-9.764;0.0;2.1;"mR";"Arapiraca/AL";"jroberto";M
"usp2023qpyc";2023-08-25T09:47:43.895Z;-39.842;-9.903;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2023qpfr";2023-08-25T00:28:17.021Z;-39.406;-3.913;0.0;1.9;"mR";"Apuiares/CE";"jroberto";M
"usp2023qole";2023-08-24T14:07:40.808Z;-50.187;-14.216;0.0;2.9;"mR";"Nova Crixas/GO";"jroberto";M
"usp2023qojb";2023-08-24T13:03:05.986Z;-39.931;-5.384;0.0;2.1;"mR";"Pedra Branca/CE";"jroberto";M
"usp2023qoai";2023-08-24T08:38:08.330Z;-38.842;-13.398;0.0;2.2;"mR";"Cairu/BA";"jroberto";M
"usp2023qlqo";2023-08-23T01:25:31.526Z;-49.694;-7.469;0.0;2.5;"mR";"Floresta do Araguaia/PA";"jroberto";M
"usp2023qlil";2023-08-22T21:19:39.000Z;-50.674;-24.325;0.0;2.4;"MLv";"Telemaco Borba/PR";"marcelo";M
"usp2023pyih";2023-08-15T18:29:16.310Z;-43.168;-20.445;0.0;2.1;"mR";"Diogo de Vasconcelos/MG";"jroberto";M
"usp2023pyeu";2023-08-15T16:42:48.557Z;-49.059;-13.487;0.0;2.9;"mR";"Porangatu/GO";"bruno";M
"usp2023pwii";2023-08-14T16:14:01.069Z;-39.874;-9.882;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2023punq";2023-08-13T16:38:57.810Z;-38.408;-4.410;0.0;2.5;"mR";"Chorozinho/CE";"jroberto";M
"usp2023pkki";2023-08-08T03:36:23.801Z;-39.883;-9.868;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2023pify";2023-08-06T23:07:11.035Z;-48.737;-19.957;0.0;2.6;"mR";"Frutal/MG";"jroberto";M
"usp2023phyo";2023-08-06T19:24:08.000Z;-48.818;-19.985;0.0;2.6;"mR";"Frutal/MG";"marcelo";M
"usp2023peyi";2023-08-05T03:52:38.835Z;-40.532;-11.239;0.0;2.4;"mR";"Jacobina/BA";"jroberto";M
