ID,Hora de Origem (UTC),Longitude,Latitude,MLv,Distance,Folder,Cat,Certainty
usp2022ejxy,2022-03-04T08:27:51.000000Z,-40.4026,-11.2741,1.175981588,52.24376452260008,20220304T082751,earthquake,suspected
usp2022infq,2022-05-02T01:54:16.000000Z,-48.65,-20.9662,1.169431746,16.84356861819898,20220502T015416,earthquake,known
usp2022nlvl,2022-07-11T11:17:20.951249Z,-40.49771881,-11.18955231,1.234725716,296.7380856878829,20220711T111720,earthquake,suspected
usp2023hidl,2023-04-15T01:34:55.466867Z,-48.60606384,-21.09280586,1.159991624,268.1212422876478,20230415T013455,earthquake,known
usp2023irrq,2023-05-04T12:30:31.000000Z,-48.68,-21.09,1.218898258,16.023809474189665,20230504T123031,earthquake,known
usp2014fmhx,2014-03-19T21:17:49.000000Z,-48.5351,-21.0769,1.328705581,1.4011849555736462,20140319T211749,earthquake,suspected
usp2014jlhk,2014-05-15T06:03:38.466266Z,-43.88510513,-16.66086578,1.326797531,183.13538190050556,20140515T060338,earthquake,known
usp2014jybk,2014-05-22T05:47:26.000000Z,-44.6637,-21.0555,1.264880552,12.148868242880583,20140522T054726,earthquake,known
usp2014lhws,2014-06-10T20:19:41.973699Z,-43.89108658,-16.63834763,1.319195543,180.56300387845243,20140610T201941,earthquake,suspected
usp2014ntur,2014-07-15T19:59:53.087426Z,-43.90724564,-16.67769432,1.274714897,184.3682853733785,20140715T195953,earthquake,suspected
usp2014nxab,2014-07-17T14:06:57.000000Z,-43.8182,-16.688,1.267279779,13.343273792065457,20140717T140657,earthquake,suspected
usp2014oszv,2014-07-29T14:59:49.444312Z,-43.88702393,-16.65819359,1.298347453,182.79789765600466,20140729T145949,earthquake,suspected
usp2014plgw,2014-08-08T14:59:58.920383Z,-44.00864792,-16.70342827,1.332939545,184.92886128967456,20140808T145958,earthquake,suspected
usp2014qfit,2014-08-19T14:40:23.106046Z,-43.88476181,-16.69898987,1.260687866,187.23216861647776,20140819T144023,earthquake,suspected
usp2014qyai,2014-08-29T19:59:52.871962Z,-43.93357468,-16.64262962,1.310241739,179.94459722553898,20140829T195952,earthquake,suspected
usp2014trgy,2014-10-07T19:59:29.135994Z,-43.90540314,-16.67534828,1.331064938,184.16244734114892,20141007T195929,earthquake,known
usp2014trij,2014-10-07T20:42:45.700103Z,-43.89161682,-16.74760056,1.26325211,192.27955248300898,20141007T204245,earthquake,suspected
usp2015fgsx,2015-03-16T20:02:39.460731Z,-34.95222855,-8.20911026,1.257805545,55.47312180187522,20150316T200239,earthquake,suspected
usp2015rufk,2015-09-10T23:33:00.795753Z,-39.89171219,-3.787130594,1.333297503,185.1415159438331,20150910T233300,earthquake,known
usp2015uhrz,2015-10-16T19:45:44.351189Z,-40.52246857,-3.822549582,1.291842789,217.18301587180594,20151016T194544,earthquake,suspected
usp2016fooj,2016-03-20T02:50:46.697961Z,-39.12890625,-12.82451534,1.284617825,235.35389957350694,20160320T025046,earthquake,known
usp2016frpw,2016-03-21T19:14:00.000000Z,-48.5726,-21.3736,1.336833567,34.35020916503184,20160321T191400,earthquake,known
usp2016rzoj,2016-09-12T21:46:32.820332Z,-36.37464905,-9.639895439,1.315314713,11.443913317744203,20160912T214632,earthquake,known
usp2017emit,2017-03-05T16:12:09.000000Z,-48.57,-21.37,1.30393503,33.91947783847697,20170305T161209,earthquake,known
usp2017qebm,2017-08-18T21:51:45.000000Z,-44.23,-22.9,1.315227388,27.556318052018398,20170818T215145,earthquake,known
usp2018hhub,2018-04-14T20:50:18.342369Z,-40.39011765,-3.628355742,1.267411,242.266412492479,20180414T205018,earthquake,known
usp2019qbcf,2019-08-17T06:49:50.000000Z,-56.7374,-11.6091,1.282456921,0.9215277940275417,20190817T064950,earthquake,known
usp2020bhmv,2020-01-19T07:58:36.875267Z,-35.4371376,-5.100765705,1.309881063,199.04199002986093,20200119T075836,earthquake,known
usp2020etpn,2020-03-08T15:33:43.525556Z,-48.6900444,-21.08629227,1.307594922,16.995856877750544,20200308T153343,earthquake,known
usp2020ieip,2020-04-26T05:10:54.317321Z,-38.11923981,-4.746739388,1.2906043,266.03116752655484,20200426T051054,earthquake,known
usp2020vllf,2020-11-01T02:25:09.798389Z,-35.93569946,-8.258720398,1.296838258,215.72263393137487,20201101T022509,earthquake,known
usp2021hqxn,2021-04-19T20:48:08.149495Z,-34.85542679,-7.435947418,1.337990883,311.49311066516475,20210419T204808,earthquake,known
usp2021lglv,2021-06-10T01:40:44.000000Z,-40.5146,-11.1907,1.255653144,51.35803610365091,20210610T014044,earthquake,known
usp2021lgyo,2021-06-10T08:06:39.000000Z,-40.5163,-11.1873,1.265598942,51.2059651088034,20210610T080639,earthquake,suspected
usp2021ybaf,2021-12-09T02:06:20.000000Z,-40.4826,-11.2219,1.304227862,51.79626779899635,20211209T020620,earthquake,known
usp2022blzw,2022-01-21T19:05:49.767393Z,-36.1785202,-5.487469196,1.311046307,107.44014241689167,20220121T190549,earthquake,suspected
usp2022gkox,2022-04-02T04:06:31.000000Z,-48.5999,-20.9706,1.261666035,12.96370356049783,20220402T040631,earthquake,suspected
usp2014iiwa,2014-04-29T16:30:32.000000Z,-60.6054,2.6342,1.391774031,27.979321948405698,20140429T163032,earthquake,suspected
usp2014knuf,2014-05-30T20:20:44.537700Z,-43.852211,-16.694067,1.377364109,187.58718625903052,20140530T202044,earthquake,suspected
usp2014lfqr,2014-06-09T14:59:24.460509Z,-43.87540817,-16.66637802,1.412400756,183.9867811436862,20140609T145924,earthquake,suspected
usp2014lslh,2014-06-16T15:02:39.438670Z,-43.82093811,-16.73863983,1.385459982,193.23328133389717,20140616T150239,earthquake,suspected
usp2014mjhr,2014-06-25T20:31:20.550311Z,-40.87238693,-18.68104744,1.448349858,86.28721563722003,20140625T203120,earthquake,suspected
usp2014omam,2014-07-25T19:22:16.736800Z,-43.92001343,-16.6652298,1.399864604,182.70959751629167,20140725T192216,earthquake,suspected
usp2014qdnw,2014-08-18T14:59:44.583027Z,-43.87340927,-16.68227577,1.385703298,185.74255629874853,20140818T145944,earthquake,suspected
usp2014tfhq,2014-10-01T06:42:41.786150Z,-43.91039658,-16.65189171,1.435925442,181.51434446955844,20141001T064241,earthquake,known
