,EventID,Event,Pick,Network,Station,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Error
120486,usp2018yrbq,20181217T210026,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,-24.13369751,-66.91304779,193000.0,,2018-12-17T21:00:26.746636Z,,,,,,,channel metadata:
120510,usp2018yrbq,20181217T210026,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-24.13369751,-66.91304779,193000.0,,2018-12-17T21:00:26.746636Z,,,,,,,channel metadata:
120512,usp2018yrbq,20181217T210026,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-24.13369751,-66.91304779,193000.0,,2018-12-17T21:00:26.746636Z,,,,,,,channel metadata:
120552,usp2018ypqf,20181217T020500,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.49040604,-68.42456055,103314.9948,,2018-12-17T02:05:00.895164Z,,,,,,,channel metadata:
120553,usp2018ypqf,20181217T020500,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.49040604,-68.42456055,103314.9948,,2018-12-17T02:05:00.895164Z,,,,,,,channel metadata:
120616,usp2018yoxd,20181216T162722,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-23.19110489,-69.14854431,70137.48169,,2018-12-16T16:27:22.012856Z,,,,,,,channel metadata:
120617,usp2018yoxd,20181216T162722,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-23.19110489,-69.14854431,70137.48169,,2018-12-16T16:27:22.012856Z,,,,,,,channel metadata:
120618,usp2018yoxd,20181216T162722,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,-23.19110489,-69.14854431,70137.48169,,2018-12-16T16:27:22.012856Z,,,,,,,channel metadata:
120673,usp2018ynqs,20181216T000413,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,-30.69343376,-71.58178711,20857.74612,,2018-12-16T00:04:13.699555Z,,,,,,,channel metadata:
120674,usp2018ynqs,20181216T000413,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-30.69343376,-71.58178711,20857.74612,,2018-12-16T00:04:13.699555Z,,,,,,,channel metadata:
120676,usp2018ynqs,20181216T000413,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-30.69343376,-71.58178711,20857.74612,,2018-12-16T00:04:13.699555Z,,,,,,,channel metadata:
120722,usp2018ymtg,20181215T121250,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-19.92866516,-70.89379883,35806.31256,,2018-12-15T12:12:50.512916Z,,,,,,,channel metadata:
120724,usp2018ymtg,20181215T121250,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-19.92866516,-70.89379883,35806.31256,,2018-12-15T12:12:50.512916Z,,,,,,,channel metadata:
120839,usp2018yktf,20181214T095604,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,-2.987688065,-75.38259888,145910.4614,,2018-12-14T09:56:04.418190Z,,,,,,,channel metadata:
120840,usp2018yktf,20181214T095604,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-2.987688065,-75.38259888,145910.4614,,2018-12-14T09:56:04.418190Z,,,,,,,channel metadata:
120841,usp2018yktf,20181214T095604,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-2.987688065,-75.38259888,145910.4614,,2018-12-14T09:56:04.418190Z,,,,,,,channel metadata:
120916,usp2018yjxq,20181213T230155,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-22.4106102,-67.96871185,141543.9453,,2018-12-13T23:01:55.902783Z,,,,,,,channel metadata:
120918,usp2018yjxq,20181213T230155,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-22.4106102,-67.96871185,141543.9453,,2018-12-13T23:01:55.902783Z,,,,,,,channel metadata:
120919,usp2018yjxq,20181213T230155,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,-22.4106102,-67.96871185,141543.9453,,2018-12-13T23:01:55.902783Z,,,,,,,channel metadata:
120958,usp2018yiwv,20181213T092820,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,4.829361916,-72.90261078,10000.0,,2018-12-13T09:28:20.012517Z,,,,,,,channel metadata:
120959,usp2018yiwv,20181213T092820,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,4.829361916,-72.90261078,10000.0,,2018-12-13T09:28:20.012517Z,,,,,,,channel metadata:
121002,usp2018yinr,20181213T045135,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.06184006,-67.94739532,124175.6592,,2018-12-13T04:51:35.639796Z,,,,,,,channel metadata:
121003,usp2018yinr,20181213T045135,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,-21.06184006,-67.94739532,124175.6592,,2018-12-13T04:51:35.639796Z,,,,,,,channel metadata:
121219,usp2018ycpt,20181209T230654,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.77035904,-68.26579285,113537.9639,,2018-12-09T23:06:54.163048Z,,,,,,,channel metadata:
121221,usp2018ycpt,20181209T230654,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.77035904,-68.26579285,113537.9639,,2018-12-09T23:06:54.163048Z,,,,,,,channel metadata:
121222,usp2018ycpt,20181209T230654,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,-21.77035904,-68.26579285,113537.9639,,2018-12-09T23:06:54.163048Z,,,,,,,channel metadata:
127286,usp2018sqph,20180923T053205,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-24.25086403,-69.93746185,10000.0,,2018-09-23T05:32:05.244382Z,,,,,,,channel metadata:
127390,usp2018spiy,20180922T131357,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-25.8672924,-70.77071381,10000.0,,2018-09-22T13:13:57.683206Z,,,,,,,channel metadata:
127600,usp2018skhi,20180919T184221,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-19.45486259,-70.1118927,64000.0,,2018-09-19T18:42:21.891223Z,,,,,,,channel metadata:
127602,usp2018skhi,20180919T184221,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-19.45486259,-70.1118927,64000.0,,2018-09-19T18:42:21.891223Z,,,,,,,channel metadata:
127676,usp2018sjyc,20180919T140221,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-22.27374649,-65.92085266,287000.0,,2018-09-19T14:02:21.285283Z,,,,,,,channel metadata:
127678,usp2018sjyc,20180919T140221,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-22.27374649,-65.92085266,287000.0,,2018-09-19T14:02:21.285283Z,,,,,,,channel metadata:
127845,usp2018sgly,20180917T162918,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-22.45543861,-68.6579895,88000.0,,2018-09-17T16:29:18.203610Z,,,,,,,channel metadata:
128076,usp2018sapf,20180914T112003,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-15.96387863,-71.27721405,123312.7747,,2018-09-14T11:20:03.074157Z,,,,,,,channel metadata:
128077,usp2018sapf,20180914T112003,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-15.96387863,-71.27721405,123312.7747,,2018-09-14T11:20:03.074157Z,,,,,,,channel metadata:
128348,usp2018ryvd,20180913T120318,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-15.57807636,-70.18962097,204000.0,,2018-09-13T12:03:18.763213Z,,,,,,,channel metadata:
128394,usp2018rxqx,20180912T204711,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-20.98420143,-67.43553925,170141.6473,,2018-09-12T20:47:11.642678Z,,,,,,,channel metadata:
128396,usp2018rxqx,20180912T204711,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-20.98420143,-67.43553925,170141.6473,,2018-09-12T20:47:11.642678Z,,,,,,,channel metadata:
128760,usp2018rndn,20180907T023907,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-28.82997513,-70.22277832,10000.0,,2018-09-07T02:39:07.979752Z,,,,,,,channel metadata:
128762,usp2018rndn,20180907T023907,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-28.82997513,-70.22277832,10000.0,,2018-09-07T02:39:07.979752Z,,,,,,,channel metadata:
129007,usp2018retu,20180902T123850,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-23.0286274,-64.17102814,10000.0,,2018-09-02T12:38:50.558330Z,,,,,,,channel metadata:
129009,usp2018retu,20180902T123850,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-23.0286274,-64.17102814,10000.0,,2018-09-02T12:38:50.558330Z,,,,,,,channel metadata:
129195,usp2018rbeh,20180831T132455,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-32.42809677,-70.47832489,67935.26459,,2018-08-31T13:24:55.257023Z,,,,,,,channel metadata:
129196,usp2018rbeh,20180831T132455,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-32.42809677,-70.47832489,67935.26459,,2018-08-31T13:24:55.257023Z,,,,,,,channel metadata:
129261,usp2018qzzg,20180830T214335,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-32.64173889,-71.28314209,40760.03647,,2018-08-30T21:43:35.905695Z,,,,,,,channel metadata:
129262,usp2018qzzg,20180830T214335,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-32.64173889,-71.28314209,40760.03647,,2018-08-30T21:43:35.905695Z,,,,,,,channel metadata:
129356,usp2018qxli,20180829T122457,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-20.57856178,-68.73879242,92718.58215,,2018-08-29T12:24:57.063773Z,,,,,,,channel metadata:
129358,usp2018qxli,20180829T122457,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-20.57856178,-68.73879242,92718.58215,,2018-08-29T12:24:57.063773Z,,,,,,,channel metadata:
130304,usp2018qhwk,20180820T235006,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.74998474,-67.26184082,183940.2924,,2018-08-20T23:50:06.634075Z,,,,,,,channel metadata:
130306,usp2018qhwk,20180820T235006,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.74998474,-67.26184082,183940.2924,,2018-08-20T23:50:06.634075Z,,,,,,,channel metadata:
130436,usp2018qbzq,20180817T183913,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-15.59137535,-70.13713837,191000.0,,2018-08-17T18:39:13.071296Z,,,,,,,channel metadata:
130489,usp2018pybg,20180815T145854,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-22.47147179,-66.22031403,277000.0,,2018-08-15T14:58:54.701827Z,,,,,,,channel metadata:
130513,usp2018pybf,20180815T145432,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-15.039,-51.1795,0.0,,2018-08-15T14:54:32.200000Z,,,,,,,channel metadata:
130515,usp2018pybf,20180815T145432,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-15.039,-51.1795,0.0,,2018-08-15T14:54:32.200000Z,,,,,,,channel metadata:
130564,usp2018pxlp,20180815T070116,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-22.31031799,-65.92744446,260000.0,,2018-08-15T07:01:16.013527Z,,,,,,,channel metadata:
130566,usp2018pxlp,20180815T070116,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-22.31031799,-65.92744446,260000.0,,2018-08-15T07:01:16.013527Z,,,,,,,channel metadata:
130699,usp2018psxy,20180812T193436,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.57660675,-67.48159027,188000.0,,2018-08-12T19:34:36.543070Z,,,,,,,channel metadata:
130701,usp2018psxy,20180812T193436,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.57660675,-67.48159027,188000.0,,2018-08-12T19:34:36.543070Z,,,,,,,channel metadata:
130833,usp2018pomz,20180810T092957,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.69894028,-68.34909058,107000.0,,2018-08-10T09:29:57.796062Z,,,,,,,channel metadata:
130835,usp2018pomz,20180810T092957,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.69894028,-68.34909058,107000.0,,2018-08-10T09:29:57.796062Z,,,,,,,channel metadata:
131017,usp2018pihc,20180806T234240,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-20.49792099,-66.51556396,189000.0,,2018-08-06T23:42:40.932719Z,,,,,,,channel metadata:
131065,usp2018phjm,20180806T114635,P,VL,GNG2,,"['HHZ', 'HHZ']",,,,-23.02742958,-66.45852661,257370.636,,2018-08-06T11:46:35.428171Z,,,,,,,channel metadata:
131137,usp2018pgbx,20180805T184832,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-15.97090244,-72.99872589,79000.0,,2018-08-05T18:48:32.324980Z,,,,,,,channel metadata:
131151,usp2018pgbx,20180805T184832,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-15.97090244,-72.99872589,79000.0,,2018-08-05T18:48:32.324980Z,,,,,,,channel metadata:
131219,usp2018pcxf,20180804T010225,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-19.50765419,-69.20106506,85000.0,,2018-08-04T01:02:25.463419Z,,,,,,,channel metadata:
131221,usp2018pcxf,20180804T010225,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-19.50765419,-69.20106506,85000.0,,2018-08-04T01:02:25.463419Z,,,,,,,channel metadata:
131254,usp2018pcxf,20180804T010225,P,VL,GNG3,,"['HHZ', 'HHZ']",,,,-19.50765419,-69.20106506,85000.0,,2018-08-04T01:02:25.463419Z,,,,,,,channel metadata:
131255,usp2018pcxf,20180804T010225,P,VL,GNG2,,"['HHZ', 'HHZ']",,,,-19.50765419,-69.20106506,85000.0,,2018-08-04T01:02:25.463419Z,,,,,,,channel metadata:
131288,usp2018pbgd,20180803T031521,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-33.88498306,-73.60136414,10000.0,,2018-08-03T03:15:21.538834Z,,,,,,,channel metadata:
131314,usp2018pbgd,20180803T031521,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-33.88498306,-73.60136414,10000.0,,2018-08-03T03:15:21.538834Z,,,,,,,channel metadata:
131572,usp2018ossw,20180729T112925,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.49609184,-68.08779907,105294.7998,,2018-07-29T11:29:25.756450Z,,,,,,,channel metadata:
131574,usp2018ossw,20180729T112925,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.49609184,-68.08779907,105294.7998,,2018-07-29T11:29:25.756450Z,,,,,,,channel metadata:
131912,usp2018oejc,20180721T143903,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-22.14392281,-68.41403198,97076.46179,,2018-07-21T14:39:03.213608Z,,,,,,,channel metadata:
131914,usp2018oejc,20180721T143903,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-22.14392281,-68.41403198,97076.46179,,2018-07-21T14:39:03.213608Z,,,,,,,channel metadata:
132016,usp2018ocff,20180720T102456,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-27.97834587,-63.14258575,590958.313,,2018-07-20T10:24:56.826190Z,,,,,,,channel metadata:
132017,usp2018ocff,20180720T102456,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-27.97834587,-63.14258575,590958.313,,2018-07-20T10:24:56.826190Z,,,,,,,channel metadata:
132082,usp2018oaai,20180719T053933,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,3.457911491,-74.60054016,47648.83423,,2018-07-19T05:39:33.615623Z,,,,,,,channel metadata:
132085,usp2018oaai,20180719T053933,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,3.457911491,-74.60054016,47648.83423,,2018-07-19T05:39:33.615623Z,,,,,,,channel metadata:
132179,usp2018nxoq,20180717T212930,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.87270927,-46.60519791,0.0,,2018-07-17T21:29:30.400881Z,,,,,,,channel metadata:
132180,usp2018nxoq,20180717T212930,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.87270927,-46.60519791,0.0,,2018-07-17T21:29:30.400881Z,,,,,,,channel metadata:
132390,usp2018nmhq,20180711T172647,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-18.10647202,-67.03752136,277169.0979,,2018-07-11T17:26:47.203430Z,,,,,,,channel metadata:
132392,usp2018nmhq,20180711T172647,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-18.10647202,-67.03752136,277169.0979,,2018-07-11T17:26:47.203430Z,,,,,,,channel metadata:
132393,usp2018nmhq,20180711T172647,P,BX,TQJ7B,10.0,"['HHZ', 'HHZ']",,,,-18.10647202,-67.03752136,277169.0979,,2018-07-11T17:26:47.203430Z,,,,,,,channel metadata:
132511,usp2018nicv,20180709T102824,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.79133415,-68.59736633,126281.8146,,2018-07-09T10:28:24.190899Z,,,,,,,channel metadata:
132513,usp2018nicv,20180709T102824,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.79133415,-68.59736633,126281.8146,,2018-07-09T10:28:24.190899Z,,,,,,,channel metadata:
132539,usp2018ndrs,20180707T001951,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,2.784006834,-75.69816589,10000.0,,2018-07-07T00:19:51.091985Z,,,,,,,channel metadata:
132889,usp2018mwms,20180703T015006,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,8.10645771,-38.15875244,10000.0,,2018-07-03T01:50:06.836632Z,,,,,,,channel metadata:
132890,usp2018mwms,20180703T015006,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,8.10645771,-38.15875244,10000.0,,2018-07-03T01:50:06.836632Z,,,,,,,channel metadata:
132935,usp2018mwfb,20180702T215845,P,VL,GNG2,,"['HHZ', 'HHZ']",,,,-24.01407051,-67.09053802,188753.83,,2018-07-02T21:58:45.798492Z,,,,,,,channel metadata:
133017,usp2018mvgj,20180702T092951,P,VL,GNG2,,"['HHZ', 'HHZ']",,,,-23.13730049,-68.71445465,92982.05566,,2018-07-02T09:29:51.000404Z,,,,,,,channel metadata:
133018,usp2018mvgj,20180702T092951,P,VL,GNG3,,"['HHZ', 'HHZ']",,,,-23.13730049,-68.71445465,92982.05566,,2018-07-02T09:29:51.000404Z,,,,,,,channel metadata:
133134,usp2018mtpt,20180701T115800,P,VL,GNG2,,"['HHZ', 'HHZ']",,,,-29.03033447,-71.36042786,45620.01801,,2018-07-01T11:58:00.832060Z,,,,,,,channel metadata:
133148,usp2018mtpt,20180701T115800,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-29.03033447,-71.36042786,45620.01801,,2018-07-01T11:58:00.832060Z,,,,,,,channel metadata:
133150,usp2018mtpt,20180701T115800,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-29.03033447,-71.36042786,45620.01801,,2018-07-01T11:58:00.832060Z,,,,,,,channel metadata:
133263,usp2018msyc,20180701T030248,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-32.57061005,-67.3806076,61494.78531,,2018-07-01T03:02:48.398169Z,,,,,,,channel metadata:
133264,usp2018msyc,20180701T030248,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-32.57061005,-67.3806076,61494.78531,,2018-07-01T03:02:48.398169Z,,,,,,,channel metadata:
133378,usp2018mqtd,20180629T221733,P,VL,GNG2,,"['HHZ', 'HHZ']",,,,-30.84969902,-71.19033813,53489.74228,,2018-06-29T22:17:33.812453Z,,,,,,,channel metadata:
133387,usp2018mqtd,20180629T221733,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-30.84969902,-71.19033813,53489.74228,,2018-06-29T22:17:33.812453Z,,,,,,,channel metadata:
133388,usp2018mqtd,20180629T221733,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-30.84969902,-71.19033813,53489.74228,,2018-06-29T22:17:33.812453Z,,,,,,,channel metadata:
133435,usp2018mpif,20180629T033719,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.13785172,-66.78057861,85546.73767,,2018-06-29T03:37:19.114429Z,,,,,,,channel metadata:
133437,usp2018mpif,20180629T033719,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.13785172,-66.78057861,85546.73767,,2018-06-29T03:37:19.114429Z,,,,,,,channel metadata:
133508,usp2018mnxv,20180628T091416,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.3193512,-66.72132874,224155.1514,,2018-06-28T09:14:16.448839Z,,,,,,,channel metadata:
133510,usp2018mnxv,20180628T091416,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.3193512,-66.72132874,224155.1514,,2018-06-28T09:14:16.448839Z,,,,,,,channel metadata:
134073,usp2018mbqy,20180621T160801,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-24.16028976,-66.85962677,163481.4301,,2018-06-21T16:08:01.716042Z,,,,,,,channel metadata:
134074,usp2018mbqy,20180621T160801,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-24.16028976,-66.85962677,163481.4301,,2018-06-21T16:08:01.716042Z,,,,,,,channel metadata:
134155,usp2018marh,20180621T031019,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-30.81074524,-72.3069458,10000.0,,2018-06-21T03:10:19.626340Z,,,,,,,channel metadata:
134198,usp2018madm,20180620T201207,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,7.153223991,-76.07028198,10000.0,,2018-06-20T20:12:07.683686Z,,,,,,,channel metadata:
134231,usp2018lzgw,20180620T084517,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-31.10790062,-71.64369965,10000.0,,2018-06-20T08:45:17.137206Z,,,,,,,channel metadata:
134275,usp2018lyrv,20180620T010955,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-23.79217148,-66.58927917,201000.0,,2018-06-20T01:09:55.079816Z,,,,,,,channel metadata:
134277,usp2018lyrv,20180620T010955,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-23.79217148,-66.58927917,201000.0,,2018-06-20T01:09:55.079816Z,,,,,,,channel metadata:
134379,usp2018lvpa,20180618T082019,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.36444664,-66.8328476,203059.967,,2018-06-18T08:20:19.428277Z,,,,,,,channel metadata:
134381,usp2018lvpa,20180618T082019,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.36444664,-66.8328476,203059.967,,2018-06-18T08:20:19.428277Z,,,,,,,channel metadata:
134449,usp2018ltrw,20180617T073158,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-26.71474266,-71.22682953,10000.0,,2018-06-17T07:31:58.575239Z,,,,,,,channel metadata:
134499,usp2018lthj,20180617T021202,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-27.57388306,-66.28396606,194000.0,,2018-06-17T02:12:02.389260Z,,,,,,,channel metadata:
134527,usp2018lthj,20180617T021202,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-27.57388306,-66.28396606,194000.0,,2018-06-17T02:12:02.389260Z,,,,,,,channel metadata:
134624,usp2018lqhb,20180615T103733,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-19.85424805,-68.85930634,91949.13483,,2018-06-15T10:37:33.603088Z,,,,,,,channel metadata:
134703,usp2018lobf,20180614T052504,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-19.77325058,-69.14544678,100000.0,,2018-06-14T05:25:04.212907Z,,,,,,,channel metadata:
134705,usp2018lobf,20180614T052504,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-19.77325058,-69.14544678,100000.0,,2018-06-14T05:25:04.212907Z,,,,,,,channel metadata:
134790,usp2018llrv,20180612T222326,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-20.70391846,-68.8110733,95000.0,,2018-06-12T22:23:26.822731Z,,,,,,,channel metadata:
134792,usp2018llrv,20180612T222326,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-20.70391846,-68.8110733,95000.0,,2018-06-12T22:23:26.822731Z,,,,,,,channel metadata:
134952,usp2018lilo,20180611T034916,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-33.12007904,-71.99668884,213629.9438,,2018-06-11T03:49:16.230655Z,,,,,,,channel metadata:
134993,usp2018lifx,20180611T005855,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-28.93704414,-72.31784058,10000.0,,2018-06-11T00:58:55.390959Z,,,,,,,channel metadata:
134995,usp2018lifx,20180611T005855,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-28.93704414,-72.31784058,10000.0,,2018-06-11T00:58:55.390959Z,,,,,,,channel metadata:
135211,usp2018kxok,20180605T044533,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.39031982,-68.18014526,77228.33252,,2018-06-05T04:45:33.820870Z,,,,,,,channel metadata:
135212,usp2018kxok,20180605T044533,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.39031982,-68.18014526,77228.33252,,2018-06-05T04:45:33.820870Z,,,,,,,channel metadata:
135327,usp2018kvde,20180603T204834,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-22.78487015,-68.50395203,55350.6279,,2018-06-03T20:48:34.124578Z,,,,,,,channel metadata:
135328,usp2018kvde,20180603T204834,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-22.78487015,-68.50395203,55350.6279,,2018-06-03T20:48:34.124578Z,,,,,,,channel metadata:
135394,usp2018kuht,20180603T095936,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-34.19454575,-72.09332275,45937.50763,,2018-06-03T09:59:36.244998Z,,,,,,,channel metadata:
135395,usp2018kuht,20180603T095936,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-34.19454575,-72.09332275,45937.50763,,2018-06-03T09:59:36.244998Z,,,,,,,channel metadata:
135426,usp2018kued,20180603T081009,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-21.69247055,-68.3604126,66965.56091,,2018-06-03T08:10:09.498976Z,,,,,,,channel metadata:
135428,usp2018kued,20180603T081009,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-21.69247055,-68.3604126,66965.56091,,2018-06-03T08:10:09.498976Z,,,,,,,channel metadata:
135566,usp2018kscx,20180602T051720,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-32.01845551,-67.4227829,139658.493,,2018-06-02T05:17:20.026749Z,,,,,,,channel metadata:
135567,usp2018kscx,20180602T051720,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,-32.01845551,-67.4227829,139658.493,,2018-06-02T05:17:20.026749Z,,,,,,,channel metadata:
135729,usp2018kohm,20180531T030209,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,6.656257153,-73.03352356,140282.6996,,2018-05-31T03:02:09.159539Z,,,,,,,channel metadata:
135732,usp2018kohm,20180531T030209,P,BX,TQJ4A,,"['HHZ', 'HHZ']",,,,6.656257153,-73.03352356,140282.6996,,2018-05-31T03:02:09.159539Z,,,,,,,channel metadata:
135888,usp2018kkmz,20180529T011609,P,BX,TQJ6A,10.0,"['HHZ', 'HHZ']",,,,-20.0751915,-68.90077972,95195.09888,,2018-05-29T01:16:09.521969Z,,,,,,,channel metadata:
