ID,Error,Pick,Network,Station,Latitude,Longitude,Channel,Location,Distance,Pick Time,Origin Time,Start Time,End Time
usp2014mjhr,"pick.phase_hint not in [P, Pg, Pn]",S,,,-18.68104744,-40.87238693,,,,,2014-06-25T20:31:20.550311Z,,
usp2014omam,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.6652298,-43.92001343,,,,,2014-07-25T19:22:16.736800Z,,
usp2014omam,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.6652298,-43.92001343,,,,,2014-07-25T19:22:16.736800Z,,
usp2014qdnw,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.68227577,-43.87340927,,,,,2014-08-18T14:59:44.583027Z,,
usp2014qdnw,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.68227577,-43.87340927,,,,,2014-08-18T14:59:44.583027Z,,
usp2014qdnw,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.68227577,-43.87340927,,,,,2014-08-18T14:59:44.583027Z,,
usp2014tfhq,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.65189171,-43.91039658,,,,,2014-10-01T06:42:41.786150Z,,
usp2014tfhq,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.65189171,-43.91039658,,,,,2014-10-01T06:42:41.786150Z,,
usp2015nrvg,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.67764282,-43.94127655,,,,,2015-07-14T18:00:30.252581Z,,
usp2015nrvg,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.67764282,-43.94127655,,,,,2015-07-14T18:00:30.252581Z,,
usp2015nrvg,"pick.phase_hint not in [P, Pg, Pn]",S,,,-16.67764282,-43.94127655,,,,,2015-07-14T18:00:30.252581Z,,
usp2016eleo,sta_lat or sta_lon is None,P,IU,RCBR,,,BHZ,10,,,,,
usp2016eleo,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.357515335,-36.11803055,,,,,2016-03-04T00:56:30.841630Z,,
usp2016eleo,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.357515335,-36.11803055,,,,,2016-03-04T00:56:30.841630Z,,
usp2016eleo,sta_lat or sta_lon is None,P,NB,NBAN,,,HHZ,,,,,,
usp2016eleo,sta_lat or sta_lon is None,P,NB,NBPV,,,HHZ,,,,,,
usp2016eleo,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.357515335,-36.11803055,,,,,2016-03-04T00:56:30.841630Z,,
usp2016eleo,sta_lat or sta_lon is None,P,NB,NBRF,,,HHZ,,,,,,
usp2016eleo,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.357515335,-36.11803055,,,,,2016-03-04T00:56:30.841630Z,,
usp2016eleo,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.357515335,-36.11803055,,,,,2016-03-04T00:56:30.841630Z,,
usp2016eleo,sta_lat or sta_lon is None,P,NB,NBCA,,,HHZ,,,,,,
usp2016eleo,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.357515335,-36.11803055,,,,,2016-03-04T00:56:30.841630Z,,
usp2016eleo,sta_lat or sta_lon is None,P,NB,NBLV,,,HHZ,,,,,,
usp2016fadw,"pick.phase_hint not in [P, Pg, Pn]",S,,,-21.3747,-48.5735,,,,,2016-03-12T05:37:35.000000Z,,
usp2016rzlp,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.675539017,-36.37662888,,,,,2016-09-12T20:22:34.713384Z,,
usp2016rzlp,sta_lat or sta_lon is None,P,NB,NBLA,,,HHZ,,,,,,
usp2016rzlp,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.675539017,-36.37662888,,,,,2016-09-12T20:22:34.713384Z,,
usp2016rzlp,sta_lat or sta_lon is None,P,NB,NBAN,,,HHZ,,,,,,
usp2016sdon,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.426802635,-36.26029587,,,,,2016-09-15T02:22:40.284726Z,,
usp2016sdon,sta_lat or sta_lon is None,P,NB,NBLA,,,HHZ,,,,,,
usp2016sdon,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.426802635,-36.26029587,,,,,2016-09-15T02:22:40.284726Z,,
usp2016sdon,sta_lat or sta_lon is None,P,NB,NBRF,,,HHZ,,,,,,
usp2016sdon,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.426802635,-36.26029587,,,,,2016-09-15T02:22:40.284726Z,,
usp2016sdon,sta_lat or sta_lon is None,P,NB,NBAN,,,HHZ,,,,,,
usp2018boet,"pick.phase_hint not in [P, Pg, Pn]",S,,,-23.35,-51.19,,,,,2018-01-22T23:50:38.000000Z,,
usp2018boet,sta_lat or sta_lon is None,P,BX,LDASE,,,HHR,,,,,,
usp2018boet,"pick.phase_hint not in [P, Pg, Pn]",S,,,-23.35,-51.19,,,,,2018-01-22T23:50:38.000000Z,,
usp2018boet,"pick.phase_hint not in [P, Pg, Pn]",S,,,-23.35,-51.19,,,,,2018-01-22T23:50:38.000000Z,,
usp2018boet,"pick.phase_hint not in [P, Pg, Pn]",S,,,-23.35,-51.19,,,,,2018-01-22T23:50:38.000000Z,,
usp2018puqz,sta_lat or sta_lon is None,P,IU,RCBR,,,BHZ,10,,,,,
usp2018puqz,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.237530708,-37.19077301,,,,,2018-08-13T18:19:54.938191Z,,
usp2018puqz,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.237530708,-37.19077301,,,,,2018-08-13T18:19:54.938191Z,,
usp2018puqz,sta_lat or sta_lon is None,P,NB,NBLA,,,HHZ,,,,,,
usp2018puqz,sta_lat or sta_lon is None,P,NB,NBCA,,,HHZ,,,,,,
usp2018puqz,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.237530708,-37.19077301,,,,,2018-08-13T18:19:54.938191Z,,
usp2018puqz,"pick.phase_hint not in [P, Pg, Pn]",S,,,-8.237530708,-37.19077301,,,,,2018-08-13T18:19:54.938191Z,,
usp2018puqz,sta_lat or sta_lon is None,P,NB,NBAN,,,HHZ,,,,,,
usp2018sygc,"pick.phase_hint not in [P, Pg, Pn]",S,,,-12.25453472,-38.86182785,,,,,2018-09-27T09:59:09.881487Z,,
usp2018sygc,sta_lat or sta_lon is None,P,NB,NBLA,,,HHZ,,,,,,
usp2018sygc,"pick.phase_hint not in [P, Pg, Pn]",S,,,-12.25453472,-38.86182785,,,,,2018-09-27T09:59:09.881487Z,,
usp2019cbkx,sta_lat or sta_lon is None,P,NB,NBLV,,,HHZ,,,,,,
usp2019cbkx,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.609354019,-35.89757538,,,,,2019-01-30T05:42:47.450482Z,,
usp2019cbkx,sta_lat or sta_lon is None,P,NB,NBLA,,,HHZ,,,,,,
usp2019cbkx,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.609354019,-35.89757538,,,,,2019-01-30T05:42:47.450482Z,,
usp2019cbkx,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.609354019,-35.89757538,,,,,2019-01-30T05:42:47.450482Z,,
usp2019cbkx,sta_lat or sta_lon is None,P,NB,NBCA,,,HHZ,,,,,,
usp2019cbkx,"pick.phase_hint not in [P, Pg, Pn]",S,,,-9.609354019,-35.89757538,,,,,2019-01-30T05:42:47.450482Z,,
usp2019cbkx,sta_lat or sta_lon is None,P,NB,NBAN,,,HHZ,,,,,,
