evid,origin,longitude,latitude,depth,magnitude,magnitudet,region,author,mode,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
usp2023wksv,2023-11-15 22:39:38.426000+00:00,-44204,-18571,0.0,2.4,mR,Monjolos/MG,jroberto,M,,,,,
usp2023whlr,2023-11-14 03:38:42.526000+00:00,-36941,-15178,0.0,2.9,mR,Oceano Atlântico Sul-rg.-Una/BA,jroberto,M,,,,,
usp2023wccv,2023-11-11 05:29:09.512000+00:00,-49049,-20069,0.0,2.4,mR,Frutal/MG,jroberto,M,,,,,
usp2023vuzo,2023-11-07 07:52:51.678000+00:00,-43867,-20264,0.0,2.1,mR,Itabirito/MG,jroberto,M,,,,,
usp2023vrca,2023-11-05 04:35:23.611000+00:00,-43470,-13071,0.0,2.7,mR,Sitio do Mato/BA,jroberto,M,,,,,
usp2023vmsm,2023-11-02 19:13:12.499000+00:00,-46511,-14003,0.0,2.0,mR,Guarani de Goias/GO,jroberto,M,,,,,
usp2023vmkj,2023-11-02 15:07:14.418000+00:00,-35766,-8963,0.0,2.3,mR,Colonia Leopoldina/AL,jroberto,M,,,,,
usp2023vbkt,2023-10-27 14:48:41.845000+00:00,-45575,-20352,0.0,2.5,mR,Arcos/MG,jroberto,M,,,,,
usp2023vaxx,2023-10-27 08:20:13.939000+00:00,-44070,-19513,0.0,2.2,mR,Matozinhos/MG,jroberto,M,,,,,
usp2023uzxy,2023-10-26 19:12:47.492000+00:00,-56661,-20541,0.0,2.1,MLv,Bodoquena/MS,jroberto,M,,,,,
usp2023uzfa,2023-10-26 09:38:41.848000+00:00,-39923,-9831,0.0,2.3,mR,Uaua/BA,jroberto,M,,,,,
usp2023uyom,2023-10-26 01:18:06.709000+00:00,-36148,-8333,0.0,2.5,mR,Sao Caitano/PE,jroberto,M,,,,,
usp2023uxuf,2023-10-25 15:03:14.147000+00:00,-39258,-10949,0.0,2.2,mR,Quijingue/BA,jroberto,M,,,,,
usp2023udsb,2023-10-14 15:14:20.081000+00:00,-43843,-12913,0.0,3.3,mR,Serra Dourada/BA,jroberto,M,,,,,
usp2023ucon,2023-10-14 00:19:25.688000+00:00,-46985,-19727,0.0,2.0,mR,Araxa/MG,bruno,M,,,,,
usp2023tyep,2023-10-11 14:46:03.896000+00:00,-36193,-8361,0.0,2.3,MLv,Sao Caitano/PE,jroberto,M,,,,,
usp2023twin,2023-10-10 14:28:14.074000+00:00,-37868,-8070,0.0,2.1,mR,Custodia/PE,jroberto,M,,,,,
usp2023tsoi,2023-10-08 12:52:07.717000+00:00,-57266,-16996,0.0,2.5,M,Pocone/MT,jroberto,M,,,,,
usp2023tmvm,2023-10-05 09:40:12.202000+00:00,-39895,-9841,0.0,2.2,MLv,Uaua/BA,jroberto,M,,,,,
usp2023tlto,2023-10-04 19:33:57.538000+00:00,-56183,-20496,0.0,1.8,mR,Miranda/MS,jroberto,M,,,,,
usp2023tivt,2023-10-03 05:15:34.262000+00:00,-39892,-9830,0.0,2.1,mR,Uaua/BA,jroberto,M,,,,,
usp2023tgch,2023-10-01 17:09:03.742000+00:00,-44541,-20627,0.0,2.6,mR,Passa Tempo/MG,jroberto,M,,,,,
usp2023tffw,2023-10-01 05:48:57.869000+00:00,-48843,-13530,0.0,3.0,mR,Trombas/GO,marcelo,M,,,,,
usp2023sydt,2023-09-27 08:47:49.056000+00:00,-48629,-13733,0.0,2.8,mR,Campinacu/GO,jroberto,M,,,,,
usp2023svvs,2023-09-26 02:27:59.545000+00:00,-39843,-9923,0.0,2.5,mR,Uaua/BA,jroberto,M,,,,,
usp2023spdb,2023-09-22 10:14:54.017000+00:00,-73054,-10056,223.0,4.5,mb,Central Peru,jroberto,M,,,,,
usp2023snbz,2023-09-21 07:24:32.369000+00:00,-42644,-13541,0.0,3.1,mR,Tanque Novo/BA,marcelo,M,,,,,
usp2023siys,2023-09-19 01:13:35.783000+00:00,-48625,-20982,0.0,2.2,mR,Monte Azul Paulista/SP,jroberto,M,,,,,
usp2023sgkm,2023-09-17 15:45:26.552000+00:00,-39810,-9974,0.0,2.7,mR,Uaua/BA,jroberto,M,,,,,
usp2023rmwj,2023-09-06 23:02:19.449000+00:00,-48104,-24296,0.0,2.3,mR,Sete Barras/SP,marcelo,M,,,,,
usp2023rkxn,2023-09-05 21:20:39+00:00,-58172,-22435,0.0,2.9,mR,Paraguay,marcelo,M,,,,,
usp2023rifj,2023-09-04 09:54:56.961000+00:00,-39857,-9870,0.0,2.3,mR,Uaua/BA,jroberto,M,,,,,
usp2023riex,2023-09-04 09:40:23.759000+00:00,-39779,-9902,0.0,2.3,mR,Uaua/BA,jroberto,M,,,,,
usp2023refs,2023-09-02 05:31:55.197000+00:00,-44806,-20621,0.0,2.1,mR,Oliveira/MG,jroberto,M,,,,,
usp2023rbff,2023-08-31 13:53:14.884000+00:00,-39755,-9783,0.0,2.2,mR,Uaua/BA,jroberto,M,,,,,
usp2023rbds,2023-08-31 13:07:24.482000+00:00,-39775,-9915,0.0,2.5,mR,Uaua/BA,jroberto,M,,,,,
usp2023qxts,2023-08-29 16:39:14.918000+00:00,-44156,-19406,0.0,2.3,mR,Prudente de Morais/MG,jroberto,M,,,,,
usp2023qwtv,2023-08-29 03:35:17.280000+00:00,-35224,-8111,0.0,2.0,mR,Vitoria de Santo Antao/PE,jroberto,M,,,,,
usp2023qvtk,2023-08-28 14:14:08.850000+00:00,-38225,-5079,0.0,2.1,mR,Limoeiro do Norte/CE,jroberto,M,,,,,
usp2023qqrm,2023-08-25 19:34:39.932000+00:00,-36695,-9764,0.0,2.1,mR,Arapiraca/AL,jroberto,M,,,,,
usp2023qpyc,2023-08-25 09:47:43.895000+00:00,-39842,-9903,0.0,2.3,mR,Uaua/BA,jroberto,M,,,,,
usp2023qpfr,2023-08-25 00:28:17.021000+00:00,-39406,-3913,0.0,1.9,mR,Apuiares/CE,jroberto,M,,,,,
usp2023qole,2023-08-24 14:07:40.808000+00:00,-50187,-14216,0.0,2.9,mR,Nova Crixas/GO,jroberto,M,,,,,
usp2023qojb,2023-08-24 13:03:05.986000+00:00,-39931,-5384,0.0,2.1,mR,Pedra Branca/CE,jroberto,M,,,,,
usp2023qoai,2023-08-24 08:38:08.330000+00:00,-38842,-13398,0.0,2.2,mR,Cairu/BA,jroberto,M,,,,,
usp2023qlqo,2023-08-23 01:25:31.526000+00:00,-49694,-7469,0.0,2.5,mR,Floresta do Araguaia/PA,jroberto,M,,,,,
usp2023qlil,2023-08-22 21:19:39+00:00,-50674,-24325,0.0,2.4,MLv,Telemaco Borba/PR,marcelo,M,,,,,
usp2023pyih,2023-08-15 18:29:16.310000+00:00,-43168,-20445,0.0,2.1,mR,Diogo de Vasconcelos/MG,jroberto,M,,,,,
usp2023pyeu,2023-08-15 16:42:48.557000+00:00,-49059,-13487,0.0,2.9,mR,Porangatu/GO,bruno,M,,,,,
