EventID,Time,Depth/km,Author,Contributor,MagType,Magnitude,MagAuthor,EventLocationName,EventType,sigla,geometry
usp2022dreg,2022-02-22 02:03:37.703311,0.0,jroberto,USP,mR,2.806864743,jroberto,Nova Crixas/GO,earthquake,CO,POINT (-50.172825 -13.580195)
usp2022donc,2022-02-20 15:07:35.563860,0.0,jroberto,USP,mR,2.137482639,jroberto,Jeriquara/SP,earthquake,SE,POINT (-47.65731 -20.327616)
usp2022dnzv,2022-02-20 08:25:20.600837,0.0,jroberto,USP,mR,3.237133099,jroberto,Santa Terezinha/MT,earthquake,N,POINT (-50.279156 -10.460856)
usp2022dnkh,2022-02-20 00:33:57.762624,0.0,jroberto,USP,mR,2.336787284,jroberto,Caninde/CE,earthquake,NE,POINT (-39.384262 -4.57088)
usp2022dlxw,2022-02-19 05:10:05.260187,0.0,jroberto,USP,mR,2.479597041,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.842335 -20.121899)
usp2022dlxx,2022-02-19 05:09:15.478757,0.0,jroberto,USP,mR,2.29625087,jroberto,Uaua/BA,earthquake,NE,POINT (-39.861755 -9.842134)
usp2022dlxm,2022-02-19 04:58:14.898957,0.0,jroberto,USP,mR,2.116534392,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.832226 -20.129194)
usp2022dhph,2022-02-16 20:16:49.627394,0.0,jroberto,USP,mR,2.265677486,jroberto,Nova Granada/SP,earthquake,SE,POINT (-49.294895 -20.441671)
usp2022dgpn,2022-02-16 07:15:23.720185,0.0,jroberto,USP,mR,2.315294283,jroberto,Jacobina/BA,earthquake,NE,POINT (-40.545673 -11.293216)
usp2022dbvz,2022-02-13 16:51:00.994110,0.0,jroberto,USP,mR,2.638441205,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.827068 -20.11408)
usp2022csmd,2022-02-08 13:38:41.865797,0.0,jroberto,USP,mR,1.962336828,jroberto,Caninde/CE,earthquake,NE,POINT (-39.298035 -4.528363)
usp2022croj,2022-02-08 01:38:15.917512,0.0,jroberto,USP,mR,2.090155221,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.82658 -20.122746)
usp2022cpqq,2022-02-07 00:30:52.850000,0.0,marcelo,USP,mR,1.944360475,marcelo,Taiacu/SP,earthquake,SE,POINT (-48.575667 -21.101833)
usp2022cdem,2022-01-31 04:44:08.589355,0.0,jroberto,USP,mR,1.634436664,jroberto,Laje/BA,earthquake,NE,POINT (-39.375591 -13.105058)
usp2022ccnc,2022-01-30 19:57:55.807106,0.0,jroberto,USP,MLv,1.526911758,jroberto,Jacobina/BA,earthquake,NE,POINT (-40.5299 -11.154747)
usp2022ccmz,2022-01-30 19:53:44.766011,0.0,jroberto,USP,mR,2.340693032,jroberto,Jacobina/BA,earthquake,NE,POINT (-40.533657 -11.153795)
usp2022bzzd,2022-01-29 10:37:32.874876,0.0,jroberto,USP,mR,2.492163589,jroberto,Jacobina/BA,earthquake,NE,POINT (-40.514378 -11.297862)
usp2022bxvm,2022-01-28 06:30:39.667419,0.0,jroberto,USP,mR,2.54759108,jroberto,Carmo do Cajuru/MG,earthquake,SE,POINT (-44.796825 -20.121963)
usp2022bxuj,2022-01-28 05:57:38.446757,0.0,jroberto,USP,mR,1.991059788,jroberto,Tapiratiba/SP,earthquake,SE,POINT (-46.816528 -21.489124)
usp2022bvze,2022-01-27 06:07:02.856869,0.0,jroberto,USP,mR,1.577392877,jroberto,Tejucuoca/CE,earthquake,NE,POINT (-39.706295 -4.160331)
usp2022bvtw,2022-01-27 03:25:26.149932,0.0,mbianchi,USP,mR,2.361907132,mbianchi,Divinopolis/MG,earthquake,SE,POINT (-44.836548 -20.142084)
usp2022bvrq,2022-01-27 02:17:37.788601,0.0,jroberto,USP,mR,1.789785511,jroberto,Tejucuoca/CE,earthquake,NE,POINT (-39.643085 -4.188934)
usp2022bvql,2022-01-27 01:41:52.684260,0.0,jroberto,USP,mR,3.386296527,jroberto,Machadinho d'Oeste/RO,earthquake,CO,POINT (-61.402245 -9.197265)
usp2022buaa,2022-01-26 04:16:22.263444,0.0,jroberto,USP,mR,1.413677656,jroberto,Canhoba/SE,earthquake,NE,POINT (-37.042412 -10.136431)
usp2022bnoh,2022-01-22 15:30:54.237485,0.0,jroberto,USP,mR,2.393776533,jroberto,Forquilha/CE,earthquake,NE,POINT (-40.198189 -3.973801)
usp2022blzw,2022-01-21 19:05:49.767393,0.0,jroberto,USP,MLv,1.311046307,jroberto,Laje/RN,earthquake,NE,POINT (-36.17852 -5.487469)
usp2022bjip,2022-01-20 08:06:00.531894,0.0,jroberto,USP,mR,2.182900594,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.823929 -20.121918)
usp2022bhzv,2022-01-19 14:32:01.325314,0.0,bruno,USP,MLv,2.233233698,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.826508 -20.141724)
usp2022bhyp,2022-01-19 13:54:40.970412,0.0,jroberto,USP,mR,2.483168197,jroberto,Carmo do Cajuru/MG,earthquake,SE,POINT (-44.810909 -20.121349)
usp2022bhib,2022-01-19 05:34:00.348711,0.0,bruno,USP,MLv,2.137762321,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.849403 -20.124794)
usp2022bhgw,2022-01-19 04:57:21.605421,0.0,bruno,USP,mR,1.942072527,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.829639 -20.128714)
usp2022bhfe,2022-01-19 04:06:02.221082,0.0,bruno,USP,mR,1.980140187,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.830952 -20.126671)
usp2022bgyg,2022-01-19 00:36:41.519288,0.0,bruno,USP,mR,2.374311772,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.818256 -20.148785)
usp2022bgvl,2022-01-18 23:11:13.316380,0.0,bruno,USP,mR,2.008957137,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.826176 -20.125366)
usp2022bgqc,2022-01-18 20:29:26.637261,0.0,bruno,USP,mR,2.238741481,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.816616 -20.129484)
usp2022bgns,2022-01-18 19:16:58.472390,0.0,bruno,USP,mR,2.603583157,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.827518 -20.131483)
usp2022bggl,2022-01-18 15:36:24.110421,0.0,bruno,USP,mR,2.437579191,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.826782 -20.138334)
usp2022bfzj,2022-01-18 12:02:15.419520,0.0,bruno,USP,mR,2.866851627,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.827099 -20.133295)
usp2022beqo,2022-01-17 18:27:12.566038,0.0,bruno,USP,MLv,2.062530382,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.843636 -20.127363)
usp2022bcht,2022-01-16 11:43:53.929956,0.0,jroberto,USP,mR,1.662579894,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.829544 -20.116367)
usp2022bbzf,2022-01-16 07:24:51.936723,0.0,jroberto,USP,mR,1.632098274,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.832561 -20.125774)
usp2022bbhj,2022-01-15 22:23:45.967937,0.0,jroberto,USP,mR,1.867651467,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.829796 -20.123802)
usp2022bapr,2022-01-15 13:26:51.899003,0.0,jroberto,USP,mR,1.873332911,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.825184 -20.129095)
usp2022bapn,2022-01-15 13:23:06.669999,0.0,marcelo,USP,mR,2.444246842,marcelo,Divinopolis/MG,earthquake,SE,POINT (-44.824833 -20.1305)
usp2022bamc,2022-01-15 11:38:36.728428,0.0,jroberto,USP,mR,2.088454824,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.842628 -20.133041)
usp2022bahz,2022-01-15 09:34:22.845039,0.0,jroberto,USP,mR,1.823997844,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.838623 -20.128323)
usp2022baek,2022-01-15 07:45:57.600000,0.0,marcelo,USP,mR,2.442399546,marcelo,Divinopolis/MG,earthquake,SE,POINT (-44.814667 -20.116)
usp2022baee,2022-01-15 07:39:00.941885,0.0,jroberto,USP,mR,1.640437036,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.830776 -20.128727)
usp2022babz,2022-01-15 06:32:06.921709,0.0,jroberto,USP,mR,2.033963173,jroberto,Pirangi/SP,earthquake,SE,POINT (-48.676159 -21.089451)
usp2022aztg,2022-01-15 02:07:50.012603,0.0,bruno,USP,MLv,1.87398577,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.839008 -20.122107)
usp2022azjg,2022-01-14 21:04:19.460000,0.0,mbianchi,USP,mR,2.21624305,mbianchi,Divinopolis/MG,earthquake,SE,POINT (-44.834667 -20.153333)
usp2022ayqm,2022-01-14 11:35:23.851992,0.0,bruno,USP,mR,2.838522129,bruno,Curvelo/MG,earthquake,SE,POINT (-44.686462 -19.072744)
usp2022axzq,2022-01-14 03:04:57.946196,0.0,jroberto,USP,mR,1.563707501,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.833473 -20.124104)
usp2022axzg,2022-01-14 02:52:38.853235,0.0,jroberto,USP,mR,2.024752307,jroberto,Divinopolis/MG,earthquake,SE,POINT (-44.834824 -20.127136)
usp2022axqp,2022-01-13 22:30:33.710672,0.0,bruno,USP,mR,1.778281881,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.857594 -20.130281)
usp2022axis,2022-01-13 18:32:07.841197,0.0,bruno,USP,mR,2.853027231,bruno,Divinopolis/MG,earthquake,SE,POINT (-44.830967 -20.13229)
usp2022axin,2022-01-13 18:25:53.609999,0.0,marcelo,USP,mR,2.816476743,marcelo,Divinopolis/MG,earthquake,SE,POINT (-44.828833 -20.134333)
usp2022aukc,2022-01-12 03:48:49.498515,0.0,jroberto,USP,mR,2.788584597,jroberto,Biquinhas/MG,earthquake,SE,POINT (-45.682598 -18.75602)
usp2022asfm,2022-01-10 23:13:36.609999,0.0,marcelo,USP,mR,2.953033996,marcelo,Divinopolis/MG,earthquake,SE,POINT (-44.827333 -20.1245)
usp2022ahsg,2022-01-05 05:10:05.778567,0.0,jroberto,USP,mR,2.3095604,jroberto,Campos de Julio/MT,earthquake,CO,POINT (-58.606037 -14.134398)
usp2021zdmr,2021-12-24 16:12:03.204017,0.0,jroberto,USP,MLv,2.049059078,jroberto,Novo Horizonte do Norte/MT,earthquake,CO,POINT (-56.790256 -11.589556)
usp2021zbwz,2021-12-23 19:08:11.433682,0.0,bruno,USP,mR,1.866728657,bruno,Palmeira/SC,earthquake,S,POINT (-50.205357 -27.599154)
usp2021yzbb,2021-12-22 05:48:11.796643,0.0,jroberto,USP,mR,1.708179317,jroberto,Taua/CE,earthquake,NE,POINT (-40.214718 -5.926997)
