event,label_cat,mag,lat,lon,pred,prob_nat
20210330183204,1,0.3352611104,-27.63767284,-51.33570524,1,0.041
20210326120414,1,0.5011708364,-27.63983868,-51.33276907,1,0.115
20210325184059,1,0.3610647818,-27.6478797,-51.32702606,1,0.054
20210322212324,0,0.005035770505,-27.31064924,-52.35313424,0,0.767
20210321151054,0,-0.7545544447,-27.67417522,-51.31656958,0,0.795
20210318122412,1,-0.2532707022,-27.64007864,-51.34480396,1,0.229
20210318114127,0,-0.4933731251,-27.33150837,-52.33051611,1,0.375
20210317160911,1,0.3756020616,-27.63856535,-51.32896056,1,0.063
20210317134411,1,0.7863673842,-27.64685906,-51.21563026,1,0.11
20210312151738,0,-0.1387429922,-27.41608928,-52.3650231,1,0.007
20210311163151,1,1.879901538,-27.05645607,-52.7323441,0,0.895
20210306071000,0,-0.6639197833,-27.21689913,-52.16728141,0,0.906
20210306010317,0,-0.4307922609,-27.35363601,-52.29958914,0,0.927
20210305170044,1,1.059205265,-27.20487193,-52.05067437,0,0.967
20210304120015,1,1.476409945,-27.19127378,-52.15774127,0,0.718
20210302163434,0,-0.9290407688,-27.31294515,-52.32341968,1,0.057
20210302155449,1,1.560786776,-27.31023,-51.13788683,1,0.011
20210225125028,0,-0.3019009697,-27.60555127,-51.21905347,0,0.643
20210217170225,1,0.9311892836,-27.23994146,-52.09193095,0,0.53
20210215001418,0,-0.2591556926,-27.29252904,-52.33821597,0,0.542
20210213123623,1,2.380654088,-29.01234233,-51.11392759,0,0.628
20210211190522,1,0.3909077103,-27.6934808,-51.12529495,0,0.579
20210211174749,0,-0.5951101367,-27.20734783,-52.12430653,0,0.911
20210211174706,0,-0.5147216596,-27.20660019,-52.12419434,0,0.557
20210210042337,0,-0.5757083213,-27.69421879,-51.30103067,1,0.227
20210207151658,0,-0.5935861906,-27.67982621,-51.31976715,1,0.079
20210128195947,1,1.229164528,-27.20657288,-52.04468617,1,0.071
20210121182002,0,-0.1129401541,-27.69864253,-51.30476418,0,0.624
20210121065624,0,-0.1131928868,-27.29354018,-52.33892503,1,0.434
20210121005205,0,0.3179987898,-27.68041584,-51.31815924,1,0.294
20210118173208,1,1.312305938,-27.20423356,-52.06371897,1,0.055
20210118170041,1,1.121655287,-27.20464968,-52.05769197,1,0.035
20210115165402,0,-0.4154494118,-27.68477476,-51.3122849,0,0.711
20210114111547,1,0.7707534055,-27.64752845,-51.22942298,0,0.951
20210113170029,1,1.382801724,-27.21189021,-52.0536492,1,0.113
20210113125750,0,-0.4436444302,-27.20936371,-52.12281491,1,0.11
20210112122213,0,-0.4176996489,-27.69442064,-51.30215422,1,0.178
20210110043846,0,-0.6627023293,-27.71869596,-51.29650219,1,0.137
20210110004136,0,0.7821933024,-27.47235763,-50.43797715,0,0.97
20210107153642,0,0.6648438433,-27.19188242,-52.33560183,0,0.595
20201223174106,0,0.9651283663,-27.29975434,-51.94646474,1,0.029
20201221183426,0,-0.01759441618,-27.15916354,-52.00389195,0,0.953
20201218172115,0,0.09264477856,-27.2436329,-52.12090949,1,0.214
20201218141938,0,0.2362058724,-27.33207732,-52.31688717,0,0.883
20201215182349,1,0.6029920603,-27.21105737,-52.04466591,0,0.732
20201215144950,0,-0.08619917809,-27.29112152,-52.34725441,0,0.543
20201215065907,0,0.08564312695,-27.3212932,-51.27047139,0,0.939
20201206040135,0,-0.786158406,-27.31453094,-52.31505629,0,0.793
20201204143203,1,1.311174224,-27.39279731,-51.14500093,1,0.438
20201203192754,0,0.6974100088,-27.24040198,-52.09094888,0,0.641
20201203170049,0,1.299353828,-27.20830632,-52.05235987,1,0.09
20201202035932,0,-0.05411460198,-27.24386153,-52.1201009,1,0.298
20201201194515,1,0.4958943753,-27.30166667,-51.18178612,1,0.147
20201126170219,1,1.344912121,-27.20849452,-52.05131855,1,0.115
20201126133508,0,0.4390105851,-27.27061739,-52.16105773,0,0.921
20201125081712,0,-0.1639184733,-27.32238979,-52.3145709,0,0.872
20201123154017,1,0.6256168131,-27.87906334,-51.72934533,0,0.825
20201113222927,1,0.5734007749,-27.16689829,-52.06740284,0,0.797
20201113172139,0,0.1351028384,-27.31676689,-52.36848548,1,0.195
20201111205223,0,0.6563647987,-27.66482197,-51.22667048,0,0.612
20201111193939,0,0.6938561239,-27.19611959,-52.16575035,0,0.807
20201111170111,1,0.9918380535,-27.20825155,-52.04894735,0,0.54
20201109191619,0,-0.06137288479,-27.22923517,-52.07583119,0,0.856
20201109181513,1,0.692412007,-27.2217657,-52.05743426,0,0.894
20201108043154,0,-0.7781479809,-27.67797533,-51.34768114,0,0.929
20201107160631,1,2.2882401,-29.34024429,-51.96100616,1,0.02
20201106165159,0,0.7257181509,-27.21273741,-52.16932726,1,0.151
20201106161258,0,0.6427394999,-27.21160212,-52.16761258,1,0.401
20201106142918,0,0.8391636116,-27.2151389,-52.16990798,0,0.586
20201106135847,0,0.9639870585,-27.21968814,-52.16995298,1,0.431
20201106132410,0,0.8774777167,-27.21667333,-52.16650581,1,0.287
20201106123057,0,1.010287304,-27.21607776,-52.16753184,0,0.759
