folder,match_status,sisbra_time,sisbra_lat,sisbra_lon,sisbra_mag,fdsn_event_id,fdsn_origin_time,picks_count
20220912T194539_usp2022rxox_row5117,matched,2022-09-12T19:45:39Z,-8.54,-37.08,2.0,usp2022rxox,2022-09-12T19:45:39.088413Z,7
20220914T014434_usp2022rzwg_row5118,matched,2022-09-14T01:44:35Z,-16.7,-59.04,3.5,usp2022rzwg,2022-09-14T01:44:34.878086Z,6
20220915T202132_usp2022sdcp_row5119,matched,2022-09-15T20:21:32Z,-18.75,-48.22,2.9,usp2022sdcp,2022-09-15T20:21:32.420000Z,4
20220919T034321_row5120,no_match,2022-09-19T03:43:21Z,-9.85,-39.9,2.1,,,0
20220919T215900_row5121,no_match,2022-09-19T21:59:00Z,-9.85,-39.91,2.0,,,0
20220920T191046_row5122,no_match,2022-09-20T19:10:46Z,-14.16,-39.8,2.2,,,0
20220920T210734_row5123,no_match,2022-09-20T21:07:34Z,-24.41,-48.05,2.6,,,0
20220921T085054_usp2022snev_row5124,matched,2022-09-21T08:50:54Z,-21.68,-46.7,2.7,usp2022snev,2022-09-21T08:50:54.189038Z,11
20220922T181516_row5125,no_match,2022-09-22T18:15:16Z,-11.24,-40.51,2.1,,,0
20220923T160120_row5126,no_match,2022-09-23T16:01:20Z,-14.16,-39.79,2.0,,,0
20220926T184214_row5127,no_match,2022-09-26T18:42:14Z,-14.18,-39.19,2.0,,,0
20220927T115839_usp2022syka_row5128,matched,2022-09-27T11:58:39Z,-30.77,-51.83,2.1,usp2022syka,2022-09-27T11:58:39.284173Z,3
20220927T152429_usp2022syqv_row5129,matched,2022-09-27T15:24:29Z,-25.01,-48.06,2.0,usp2022syqv,2022-09-27T15:24:29.068492Z,2
20220928T182049_usp2022tasd_row5130,matched,2022-09-28T18:20:49Z,-8.98,-35.78,2.1,usp2022tasd,2022-09-28T18:20:49.130612Z,4
20220928T211537_usp2022taxx_row5131,matched,2022-09-28T21:15:37Z,-25.82,-56.98,3.2,usp2022taxx,2022-09-28T21:15:37.724052Z,5
20220930T193449_row5132,no_match,2022-09-30T19:34:49Z,-5.61,-36.23,2.0,,,0
20221001T011641_usp2022teww_row5133,matched,2022-10-01T01:16:41Z,-12.62,-40.27,1.7,usp2022teww,2022-10-01T01:16:41.318828Z,3
20221001T062353_usp2022tfha_row5134,matched,2022-10-01T06:23:55Z,-7.95,-74.53,4.7,usp2022tfha,2022-10-01T06:23:53.649600Z,2
20221006T162924_row5135,no_match,2022-10-06T16:29:24Z,-14.82,-58.78,2.7,,,0
20221008T175851_usp2022tsyl_row5136,matched,2022-10-08T17:58:51Z,-11.31,-40.45,2.3,usp2022tsyl,2022-10-08T17:58:51.542540Z,4
20221010T063535_usp2022tvsx_row5137,matched,2022-10-10T06:35:35Z,-17.38,-52.14,2.1,usp2022tvsx,2022-10-10T06:35:35.171110Z,1
20221011T150323_row5138,no_match,2022-10-11T15:03:23Z,-22.34,-47.94,2.7,,,0
20221012T150329_usp2022uaar_row5139,matched,2022-10-12T15:03:29Z,-5.06,-40.89,2.1,usp2022uaar,2022-10-12T15:03:29.840176Z,4
20221015T151312_row5140,no_match,2022-10-15T15:13:12Z,-13.66,-56.49,2.8,,,0
20221016T121824_row5141,no_match,2022-10-16T12:18:24Z,-19.78,-44.17,2.5,,,0
20221016T142420_usp2022uhhk_row5142,matched,2022-10-16T14:24:20Z,-5.4,-36.17,2.1,usp2022uhhk,2022-10-16T14:24:20.344770Z,3
20221017T204359_usp2022ujpl_row5143,matched,2022-10-17T20:43:59Z,-5.66,-35.98,2.3,usp2022ujpl,2022-10-17T20:43:59.951466Z,3
20221017T204359_usp2022ujpl_row5144,matched,2022-10-17T20:44:01Z,-5.55,-36.01,2.6,usp2022ujpl,2022-10-17T20:43:59.951466Z,3
20221019T215529_usp2022uniu_row5145,matched,2022-10-19T21:55:29Z,-14.0,-40.1,2.7,usp2022uniu,2022-10-19T21:55:29.744397Z,2
20221020T215711_row5146,no_match,2022-10-20T21:57:11Z,-19.56,-43.97,1.8,,,0
20221021T225917_row5147,no_match,2022-10-21T22:59:17Z,-19.97,-49.55,2.9,,,0
20221024T154854_usp2022uwaf_row5148,matched,2022-10-24T15:48:55Z,-5.69,-38.74,2.7,usp2022uwaf,2022-10-24T15:48:54.715544Z,5
20221028T155446_usp2022vdik_row5149,matched,2022-10-28T15:54:47Z,-27.23,-50.0,2.2,usp2022vdik,2022-10-28T15:54:46.909999Z,8
20221029T133443_usp2022vezh_row5150,matched,2022-10-29T13:34:43Z,-16.2,-55.93,2.9,usp2022vezh,2022-10-29T13:34:43.143741Z,1
20221030T040848_usp2022vgcd_row5151,matched,2022-10-30T04:08:48Z,-4.58,-37.78,2.0,usp2022vgcd,2022-10-30T04:08:48.934737Z,4
20221101T105741_usp2022vkgq_row5152,matched,2022-11-01T10:57:41Z,-18.06,-50.81,2.4,usp2022vkgq,2022-11-01T10:57:41.857151Z,4
20221103T074222_usp2022vnre_row5153,matched,2022-11-03T07:42:22Z,-5.94,-50.62,3.1,usp2022vnre,2022-11-03T07:42:22.300164Z,4
20221103T075758_usp2022vnrs_row5154,matched,2022-11-03T07:57:58Z,-5.94,-50.62,3.4,usp2022vnrs,2022-11-03T07:57:58.192865Z,4
20221103T134700_row5155,no_match,2022-11-03T13:47:00Z,-7.94,-40.22,2.0,,,0
20221103T150135_usp2022vofr_row5156,matched,2022-11-03T15:01:35Z,-10.88,-39.33,2.3,usp2022vofr,2022-11-03T15:01:35.089385Z,3
20221106T050844_usp2022vsyq_row5157,matched,2022-11-06T05:08:44Z,-24.69,-48.02,1.8,usp2022vsyq,2022-11-06T05:08:44.381119Z,6
20221110T115156_row5158,no_match,2022-11-10T11:51:56Z,-10.14,-36.89,2.0,,,0
20221111T055046_row5159,no_match,2022-11-11T05:50:46Z,-7.21,-50.57,3.0,,,0
20221111T123446_usp2022wcqw_row5160,matched,2022-11-11T12:34:46Z,-8.58,-71.36,4.9,usp2022wcqw,2022-11-11T12:34:46.371721Z,1
20221112T212914_usp2022wfdz_row5161,matched,2022-11-12T21:29:15Z,-19.48,-44.27,2.4,usp2022wfdz,2022-11-12T21:29:14.045606Z,5
20221116T025116_row5162,no_match,2022-11-16T02:51:16Z,-6.59,-50.08,2.8,,,0
20221118T033034_row5163,no_match,2022-11-18T03:30:34Z,-19.53,-44.06,1.9,,,0
20221120T033647_usp2022wskq_row5164,matched,2022-11-20T03:36:47Z,-16.64,-50.48,2.3,usp2022wskq,2022-11-20T03:36:47.513723Z,2
20221120T093220_usp2022wswj_row5165,matched,2022-11-20T09:32:20Z,-11.35,-40.31,1.7,usp2022wswj,2022-11-20T09:32:20.837738Z,2
20221122T163421_usp2022wxbh_row5166,matched,2022-11-22T16:34:21Z,-19.52,-44.01,2.1,usp2022wxbh,2022-11-22T16:34:21.140899Z,4
20221123T150248_usp2022wytu_row5167,matched,2022-11-23T15:02:48Z,-8.83,-36.48,1.9,usp2022wytu,2022-11-23T15:02:48.369508Z,9
20221124T020235_usp2022wzpo_row5168,matched,2022-11-24T02:02:35Z,-19.52,-44.17,2.2,usp2022wzpo,2022-11-24T02:02:35.956434Z,8
20221124T215703_usp2022xbcy_row5169,matched,2022-11-24T21:57:03Z,-18.45,-44.21,3.0,usp2022xbcy,2022-11-24T21:57:03.052375Z,12
20221127T092442_usp2022xfqq_row5170,matched,2022-11-27T09:24:42Z,-8.32,-36.04,1.9,usp2022xfqq,2022-11-27T09:24:42.363091Z,7
20221127T200712_usp2022xglv_row5171,matched,2022-11-27T20:07:12Z,-33.65,-55.83,3.6,usp2022xglv,2022-11-27T20:07:12.156701Z,5
20221129T022727_usp2022xitw_row5172,matched,2022-11-29T02:27:27Z,-8.11,-35.1,2.0,usp2022xitw,2022-11-29T02:27:27.734850Z,4
20221130T160310_row5173,no_match,2022-11-30T16:03:10Z,-8.31,-36.08,1.4,,,0
20221201T194153_usp2022xnta_row5174,matched,2022-12-01T19:41:53Z,-8.12,-39.04,1.9,usp2022xnta,2022-12-01T19:41:53.167200Z,5
20221202T095601_usp2022xove_row5175,matched,2022-12-02T09:56:01Z,-16.01,-51.25,2.8,usp2022xove,2022-12-02T09:56:01.028091Z,2
20221203T171721_usp2022xrfg_row5176,matched,2022-12-03T17:17:21Z,-11.25,-40.5,2.5,usp2022xrfg,2022-12-03T17:17:21.787043Z,3
20221204T040530_usp2022xsaq_row5177,matched,2022-12-04T04:05:30Z,-9.83,-39.92,2.0,usp2022xsaq,2022-12-04T04:05:30.658484Z,3
20221205T114733_usp2022xulj_row5178,matched,2022-12-05T11:47:33Z,-9.84,-39.91,2.7,usp2022xulj,2022-12-05T11:47:33.528136Z,4
20221206T185727_usp2022xwvb_row5179,matched,2022-12-06T18:57:27Z,-10.07,-37.1,1.9,usp2022xwvb,2022-12-06T18:57:27.609709Z,3
20221207T154042_usp2022xykb_row5180,matched,2022-12-07T15:40:42Z,-19.01,-43.53,2.2,usp2022xykb,2022-12-07T15:40:42.527553Z,5
20221207T190809_row5181,no_match,2022-12-07T19:08:09Z,-6.42,-50.19,3.0,,,0
20221208T110148_usp2022xzwj_row5182,matched,2022-12-08T11:01:48Z,-9.92,-39.86,2.1,usp2022xzwj,2022-12-08T11:01:48.132995Z,4
20221213T012537_usp2022yigx_row5183,matched,2022-12-13T01:25:37Z,-18.7,-44.94,2.3,usp2022yigx,2022-12-13T01:25:37.276582Z,5
20221213T032627_usp2022yikw_row5184,matched,2022-12-13T03:26:27Z,-9.85,-39.91,2.1,usp2022yikw,2022-12-13T03:26:27.848673Z,3
20221214T012844_usp2022ykcm_row5185,matched,2022-12-14T01:28:44Z,-11.21,-40.5,2.1,usp2022ykcm,2022-12-14T01:28:44.741685Z,2
20221215T194505_usp2022ynie_row5186,matched,2022-12-15T19:45:05Z,-9.48,-35.76,2.1,usp2022ynie,2022-12-15T19:45:05.826582Z,3
20221219T133107_usp2022yudv_row5187,matched,2022-12-19T13:31:08Z,-28.11,-50.5,2.4,usp2022yudv,2022-12-19T13:31:07.655679Z,5
20221220T150830_usp2022ywco_row5188,matched,2022-12-20T15:08:32Z,-20.81,-50.17,2.9,usp2022ywco,2022-12-20T15:08:30.813099Z,7
20221222T131356_usp2022yzpu_row5189,matched,2022-12-22T13:13:57Z,-8.06,-74.3,5.5,usp2022yzpu,2022-12-22T13:13:56.813839Z,2
20221225T150254_usp2022zffw_row5190,matched,2022-12-25T15:02:54Z,-16.71,-44.32,2.4,usp2022zffw,2022-12-25T15:02:54.759999Z,5
20221227T101436_row5191,no_match,2022-12-27T10:14:36Z,-19.09,-47.66,2.3,,,0
