case	rc	duration_s	timeout_s	log
pre	0	6	240	arquivos/registros/test_matrix/pre_20260210_155407.log
eventos	1	0	120	arquivos/registros/test_matrix/eventos_20260210_155413.log
predict	0	64	300	arquivos/registros/test_matrix/predict_20260210_155413.log
pos	0	40	240	arquivos/registros/test_matrix/pos_20260210_155517.log
maps	0	0	180	arquivos/registros/test_matrix/maps_20260210_155557.log
report	0	7	240	arquivos/registros/test_matrix/report_20260210_155557.log
todos	1	6	900	arquivos/registros/test_matrix/todos_20260210_155604.log
