case	rc	duration_s	timeout_s	log
pre	0	5	240	arquivos/registros/test_matrix/pre_20260211_084132.log
predict	0	3	300	arquivos/registros/test_matrix/predict_20260211_084132.log
pos	0	2	240	arquivos/registros/test_matrix/pos_20260211_084132.log
maps	0	0	180	arquivos/registros/test_matrix/maps_20260211_084132.log
report	0	6	240	arquivos/registros/test_matrix/report_20260211_084132.log
