#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ON|DUB01||HHE|-22.080966|-42.374182|623.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-08-16T00:00:00|2017-04-10T00:00:00
ON|DUB01||HHE|-22.080966|-42.374182|623.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-10T00:00:01|
ON|DUB01||HHN|-22.080966|-42.374182|623.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-08-16T00:00:00|2017-04-10T00:00:00
ON|DUB01||HHN|-22.080966|-42.374182|623.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-10T00:00:01|
ON|DUB01||HHZ|-22.080966|-42.374182|623.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-08-16T00:00:00|2017-04-10T00:00:00
ON|DUB01||HHZ|-22.080966|-42.374182|623.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-10T00:00:01|
ON|GDU01||HH1|-13.72|-39.575278|251.0|0.0|283.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2014-04-28T00:00:00|2016-11-29T18:00:00
ON|GDU01||HH1|-13.72|-39.575278|251.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2016-11-29T18:00:01|
ON|GDU01||HH2|-13.72|-39.575278|251.0|0.0|13.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2014-04-28T00:00:00|2016-11-29T18:00:00
ON|GDU01||HH2|-13.72|-39.575278|251.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2016-11-29T18:00:01|
ON|GDU01||HHZ|-13.72|-39.575278|251.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2014-04-28T00:00:00|
ON|GUA01||HHE|-16.58349|-39.805342|198.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2013-10-27T00:00:00|
ON|GUA01||HHN|-16.58349|-39.805342|198.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2013-10-27T00:00:00|
ON|GUA01||HHZ|-16.58349|-39.805342|198.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2013-10-27T00:00:00|
ON|JAC01||HHE|-24.81142|-48.102354|297.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-10-26T00:00:00|2015-07-07T23:59:59.0999
ON|JAC01||HHN|-24.81142|-48.102354|297.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-10-26T00:00:00|2015-07-07T23:59:59.0999
