ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20220730_112410;2022-07-30T11:24:10;-51.3100;-27.7005;469436.3308146971;6935933.156683664;-0.2;269.668;I
MC_20220729_153233;2022-07-29T15:32:33;-49.6532;-27.3677;633195.6835639544;6972114.657569529;1.6;711673;Q
MC_20220729_044303;2022-07-29T04:43:03;-51.3324;-27.7041;467231.81390406564;6935528.47601528;-0.4;142.633;I
MC_20220729_010216;2022-07-29T01:02:16;-51.3055;-27.7007;469876.0790409467;6935910.762227675;-0.3;174.684;I
MC_20220729_001725;2022-07-29T00:17:25;-51.3329;-27.7033;467183.03932096146;6935623.903157903;-0.8;21.289;I
MC_20220727_000454;2022-07-27T00:04:54;-51.3124;-27.6862;469195.5608324703;6937520.775613174;-0.7;31.8067;I
MC_20220726_155704;2022-07-26T15:57:04;-51.3244;-27.6746;468011.81519890635;6938806.049139495;-0.4;149.136;I
MC_20220726_003825;2022-07-26T00:38:25;-51.3072;-27.6972;469713.9716135793;6936303.144219564;-0.2;346.682;I
MC_20220725_234534;2022-07-25T23:45:34;-51.3038;-27.6964;470045.29310069035;6936394.083730471;-0.7;42.5153;I
MC_20220725_055323;2022-07-25T05:53:23;-51.3102;-27.7060;469413.95401295624;6935324.814846134;-1.1;7.06748;I
MC_20220724_203247;2022-07-24T20:32:47;-51.3353;-27.6706;466933.5628279755;6939237.050345255;-1.1;6.55729;I
MC_20220724_072424;2022-07-24T07:24:24;-51.3402;-27.7125;466458.0199514122;6934593.21340248;-1.1;7.07699;I
MC_20220723_194536;2022-07-23T19:45:36;-51.3263;-27.6719;467820.19833217864;6939098.829536661;-0.8;24.9654;I
MC_20220722_041018;2022-07-22T04:10:18;-51.3343;-27.6727;467031.9211996798;6939004.422975701;-1.0;8.61127;I
MC_20220721_204632;2022-07-21T20:46:32;-51.3244;-27.6784;468013.6401399863;6938376.059202941;-1.0;12.2042;I
MC_20220721_181038;2022-07-21T18:10:38;-51.3295;-27.6721;467509.0180473206;6939081.688070477;-0.7;38.0322;I
MC_20220721_180032;2022-07-21T18:00:32;-51.3315;-27.6731;467305.18043730094;6938966.251801413;-0.5;96.5885;I
MC_20220721_180013;2022-07-21T18:00:13;-51.3349;-27.6705;466974.8102170399;6939246.892558277;-0.4;163.518;I
MC_20220721_163607;2022-07-21T16:36:07;-49.8556;-27.0632;613481.2926770515;7006045.673557474;1.8;2.15905e+06;Q
MC_20220720_191729;2022-07-20T19:17:29;-50.8675;-26.9589;513148.18117811554;7018109.271039198;1.3;218050;Q
MC_20220720_184918;2022-07-20T18:49:18;-49.7811;-28.2807;619542.1738566344;6871104.168673679;1.3;264780;Q
MC_20220720_091053;2022-07-20T09:10:53;-51.3101;-27.7000;469424.45120746177;6935989.961665633;-0.7;33.2644;I
MC_20220719_160133;2022-07-19T16:01:33;-51.3276;-27.6733;467695.4302748651;6938948.60155135;-0.5;109.881;I
MC_20220719_151121;2022-07-19T15:11:21;-51.6350;-27.8217;437462.13481361035;6922386.8953378815;1.4;368024;Q
MC_20220719_043227;2022-07-19T04:32:27;-51.3088;-27.6711;469550.12472602853;6939197.107627299;0.4;4267.45;I
MC_20220718_062508;2022-07-18T06:25:08;-51.3055;-27.6941;469882.48983001173;6936648.360193767;-0.7;33.9338;I
MC_20220717_205204;2022-07-17T20:52:04;-51.3313;-27.6746;467329.0427067951;6938803.440452943;-0.9;12.8302;I
MC_20220717_164159;2022-07-17T16:41:59;-51.3112;-27.6956;469317.31235404185;6936478.803892126;-0.1;505.038;I
MC_20220717_140835;2022-07-17T14:08:35;-51.3276;-27.6773;467697.0404372201;6938496.731396923;-1.2;4.72261;I
MC_20220717_094632;2022-07-17T09:46:32;-51.3251;-27.6708;467941.4069170301;6939218.498198468;-0.9;13.8844;I
MC_20220716_012517;2022-07-16T01:25:17;-51.3167;-27.6836;468770.9134172742;6937802.850515384;-0.9;17.2175;I
MC_20220715_200656;2022-07-15T20:06:56;-51.2582;-27.6662;474538.06216296577;6939749.821369007;1.2;185810;Q
MC_20220715_094356;2022-07-15T09:43:56;-51.3298;-27.6701;467475.07498868916;6939297.495823575;-0.8;24.6703;I
MC_20220714_091340;2022-07-14T09:13:40;-51.3227;-27.6728;468178.5584425634;6939000.948276494;-0.6;56.5902;I
MC_20220713_165117;2022-07-13T16:51:17;-52.0736;-27.4806;393936.81088915636;6959871.991938859;1.9;2.8883e+06;Q
MC_20220712_213320;2022-07-12T21:33:20;-51.3210;-27.6722;468339.18346214236;6939065.9294589795;-0.4;155.586;I
MC_20220712_143128;2022-07-12T14:31:28;-51.3484;-27.6743;465639.89019269985;6938831.086887971;-0.5;76.9412;I
MC_20220712_085935;2022-07-12T08:59:35;-51.3128;-27.6972;469161.01018418535;6936299.362157729;0.4;4310.04;I
MC_20220712_061603;2022-07-12T06:16:03;-51.3230;-27.6728;468147.67590378976;6938998.629876493;-0.6;57.2064;I
