ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20220528_202714;2022-05-28T20:27:14;-51.3163;-27.6759;468812.1913596822;6938657.412597343;-0.4;126.258;I
MC_20220528_165615;2022-05-28T16:56:15;-51.6684;-28.5275;434603.3962022672;6844176.901905531;1.2;128717;Q
MC_20220528_031944;2022-05-28T03:19:44;-51.3120;-27.6900;469238.6399463163;6937095.362698105;-1.0;8.63643;I
MC_20220528_010210;2022-05-28T01:02:10;-51.3149;-27.6740;468947.51690937387;6938869.176325482;-1.0;10.4935;I
MC_20220527_223524;2022-05-27T22:35:24;-51.3122;-27.6858;469219.9408863759;6937566.596046506;-0.3;224.324;I
MC_20220527_053342;2022-05-27T05:33:42;-51.3171;-27.6769;468731.91856440087;6938542.639864555;-1.1;7.20344;I
MC_20220527_050853;2022-05-27T05:08:53;-51.3153;-27.6759;468904.6291859016;6938656.82066407;-1.1;7.42741;I
MC_20220527_034931;2022-05-27T03:49:31;-51.3163;-27.6789;468804.2018062006;6938328.500039936;-0.3;194.69;I
MC_20220527_013912;2022-05-27T01:39:12;-51.3152;-27.6771;468915.9717165364;6938527.286744108;-0.0;704.872;I
MC_20220527_012509;2022-05-27T01:25:09;-51.3170;-27.6800;468738.3513176919;6938206.886442263;-0.1;504.382;I
MC_20220527_012353;2022-05-27T01:23:53;-51.3141;-27.6780;469022.0814745298;6938429.929974007;-1.1;6.91559;I
MC_20220526_234323;2022-05-26T23:43:23;-51.3158;-27.6798;468856.3625757529;6938223.396195779;-0.8;23.6432;I
MC_20220526_200840;2022-05-26T20:08:40;-51.3169;-27.6774;468752.11304517963;6938491.215068315;-0.1;534.197;I
MC_20220526_162534;2022-05-26T16:25:34;-49.9344;-26.9016;605817.7597907747;7024017.671606115;1.7;1.19415e+06;Q
MC_20220526_073705;2022-05-26T07:37:05;-51.3116;-27.6791;469269.93502138177;6938306.508868702;-0.7;31.0479;I
MC_20220526_063301;2022-05-26T06:33:01;-51.2991;-27.6989;470514.8654277149;6936111.278445423;-0.8;23.9731;I
MC_20220526_040426;2022-05-26T04:04:26;-51.3165;-27.6820;468786.7552450157;6937981.819650058;-0.3;183.555;I
MC_20220526_011419;2022-05-26T01:14:19;-51.3183;-27.6753;468608.3941756585;6938726.581479913;-0.5;110.572;I
MC_20220525_163803;2022-05-25T16:38:03;-51.3134;-27.6912;469099.6561877617;6936961.354074631;-0.9;17.2403;I
MC_20220525_125902;2022-05-25T12:59:02;-51.3180;-27.6743;468639.8301720508;6938832.2500616945;0.2;2045.57;I
MC_20220525_091104;2022-05-25T09:11:04;-51.3153;-27.6919;468908.9701472799;6936891.557946302;-0.8;21.9431;I
MC_20220525_081921;2022-05-25T08:19:21;-51.3126;-27.6877;469171.5096597484;6937348.815731401;-1.0;8.85257;I
MC_20220525_033522;2022-05-25T03:35:22;-51.3192;-27.6739;468522.81346351636;6938880.070370266;0.2;2341.66;I
MC_20220524_210409;2022-05-24T21:04:09;-51.3176;-27.6779;468680.6887355464;6938439.593452491;-0.5;77.7207;I
MC_20220524_194124;2022-05-24T19:41:24;-51.3159;-27.6717;468844.3233152249;6939121.1803229265;1.2;125419;I
MC_20220524_191107;2022-05-24T19:11:07;-51.3172;-27.6768;468723.6828406826;6938558.492267803;-0.7;33.5386;I
MC_20220524_183732;2022-05-24T18:37:32;-51.3197;-27.6746;468474.1126360431;6938799.418835057;-0.6;67.9675;I
MC_20220524_181158;2022-05-24T18:11:58;-51.3131;-27.6881;469122.6765243548;6937310.960735632;-1.0;11.0122;I
MC_20220524_174120;2022-05-24T17:41:20;-51.3163;-27.6717;468805.9241382373;6939127.8545068335;0.4;4480.45;I
MC_20220524_174052;2022-05-24T17:40:52;-51.3138;-27.6759;469052.6656248483;6938661.818453145;-0.4;121.129;I
MC_20220524_164943;2022-05-24T16:49:43;-51.3180;-27.6767;468643.42180082784;6938572.103295265;-0.3;175.971;I
MC_20220524_164845;2022-05-24T16:48:45;-51.3220;-27.6759;468247.99121658097;6938653.051922571;-0.5;93.4914;I
MC_20220524_163857;2022-05-24T16:38:57;-51.3173;-27.6747;468706.8982619603;6938788.190554038;0.1;1263.99;I
MC_20220524_163843;2022-05-24T16:38:43;-51.3180;-27.6744;468637.3882934448;6938827.696592355;0.4;4669.34;I
MC_20220524_163707;2022-05-24T16:37:07;-51.3208;-27.6754;468366.3210640142;6938716.10791995;-0.4;148.784;I
MC_20220524_163635;2022-05-24T16:36:35;-51.3135;-27.6755;469080.79418488697;6938700.563661858;-0.6;67.5101;I
MC_20220524_163540;2022-05-24T16:35:40;-51.3167;-27.6768;468771.70055352245;6938558.995580241;-0.1;456.165;I
