ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20220831_200304;2022-08-31T20:03:04;-51.3349;-27.6968;466977.4056295522;6936337.548725551;-0.6;53.3202;I
MC_20220831_183352;2022-08-31T18:33:52;-51.3326;-27.6960;467202.03648893826;6936429.65363802;-0.7;37.2783;I
MC_20220831_183008;2022-08-31T18:30:08;-51.3340;-27.6930;467069.72222823376;6936757.083832487;-0.5;75.3008;I
MC_20220830_203650;2022-08-30T20:36:50;-51.2628;-27.6935;474088.1502296447;6936727.208644292;-0.0;646.568;I
MC_20220830_154930;2022-08-30T15:49:30;-51.3337;-27.6995;467094.4362905662;6936040.493835299;-0.5;92.7035;I
MC_20220830_153511;2022-08-30T15:35:10;-49.7119;-27.2086;627564.8854738198;6989801.861451151;1.8;1.87489e+06;Q
MC_20220830_153510;2022-08-30T15:35:10;-49.7119;-27.2086;627564.8854738198;6989801.861451151;1.3;196437;Q
MC_20220830_034904;2022-08-30T03:49:04;-51.3103;-27.6974;469407.61676611163;6936282.292905286;-0.7;41.0233;I
MC_20220829_184106;2022-08-29T18:41:06;-51.3173;-27.6931;468710.451780193;6936751.498178421;-0.9;12.9332;I
MC_20220825_225626;2022-08-25T22:56:26;-51.3118;-27.6819;469251.25010852696;6937997.420957646;-0.6;50.0029;I
MC_20220825_183428;2022-08-25T18:34:28;-50.0073;-26.7109;598747.8111186142;7045201.824427504;1.5;508744;Q
MC_20220818_193409;2022-08-18T19:34:10;-51.6873;-29.0946;433118.58236059756;6781338.594452976;1.4;395251;Q
MC_20220818_193410;2022-08-18T19:34:10;-51.6873;-29.0946;433118.58236059756;6781338.594452976;1.4;395251;Q
MC_20220816_211104;2022-08-16T21:11:04;-50.0495;-27.3689;594001.021205254;6972343.364195215;1.4;356890;Q
MC_20220813_020329;2022-08-13T02:03:29;-51.3266;-27.6726;467789.58677708387;6939024.626780804;-0.6;64.913;I
MC_20220812_034538;2022-08-12T03:45:38;-51.3090;-27.7029;469540.2312546347;6935668.200711138;-0.8;19.9633;I
MC_20220810_152330;2022-08-10T15:23:30;-49.6841;-27.3469;630158.9443491448;6974457.0070298305;2.0;4.52928e+06;Q
MC_20220808_090814;2022-08-08T09:08:14;-51.3145;-27.6868;468984.0705006666;6937452.427949494;-0.4;126.398;I
MC_20220807_124910;2022-08-07T12:49:10;-51.3200;-27.6722;468441.45144520025;6939062.869792543;-1.1;5.55403;I
MC_20220807_014949;2022-08-07T01:49:49;-51.3213;-27.6725;468312.0379420646;6939035.021080416;-1.1;6.39779;I
MC_20220806_111834;2022-08-06T11:18:34;-51.3121;-27.6785;469224.411301707;6938369.1314884955;-0.7;33.3469;I
MC_20220806_012114;2022-08-06T01:21:14;-51.3243;-27.6708;468013.0114763623;6939223.151854567;-0.5;98.9335;I
MC_20220805_170113;2022-08-05T17:01:13;-51.3229;-27.6707;468160.5136173398;6939228.732809036;-0.2;308.657;I
MC_20220805_143034;2022-08-05T14:30:34;-51.3052;-27.7005;469909.75196482067;6935933.840790714;-0.7;34.822;I
MC_20220805_114602;2022-08-05T11:46:02;-51.3042;-27.6951;470006.6432494721;6936531.284527792;-0.8;21.1671;I
MC_20220804_174507;2022-08-04T17:45:07;-51.4675;-27.6913;453905.87396207725;6936906.816040305;-0.3;238.558;I
MC_20220804_143202;2022-08-04T14:32:02;-51.4161;-27.5951;458931.96064805094;6947579.036721148;0.6;11528.3;I
MC_20220803_152850;2022-08-03T15:28:50;-50.4022;-28.6775;558402.7212650578;6827594.380539891;1.3;255695;Q
MC_20220802_165451;2022-08-02T16:54:51;-51.3251;-27.6969;467950.59961924475;6936334.384929076;-0.6;65.2151;I
MC_20220802_152052;2022-08-02T15:20:52;-52.4581;-28.6977;357562.47906565585;6824639.086844631;1.8;2.06946e+06;Q
MC_20220801_164758;2022-08-01T16:47:58;-49.7417;-27.4359;624366.2324166272;6964652.088719225;1.4;349342;Q
MC_20220801_162247;2022-08-01T16:22:47;-49.8685;-26.9833;612281.2798307573;7014909.925631416;1.2;124969;Q
