ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20220223_211108;2022-02-23T21:11:08;-51.2739;-27.7139;472994.42124877725;6934460.22931869;0.3;3070.77;I
MC_20220223_111251;2022-02-23T11:12:51;-51.3133;-27.7256;469121.02228239505;6933158.5234876955;-0.5;78.4388;I
MC_20220222_155551;2022-02-22T15:55:51;-49.9313;-26.9378;606094.4246396384;7020006.439923686;1.1;114961;Q
MC_20220222_122457;2022-02-22T12:24:57;-51.3192;-27.7079;468526.75677636766;6935116.460674469;-0.2;294.904;I
MC_20220215_134251;2022-02-15T13:42:51;-51.2593;-27.6759;474429.821638102;6938675.5158039825;1.1;109036;Q
MC_20220211_150009;2022-02-11T15:00:05;-51.4463;-29.2810;456651.20153099677;6760794.317012655;2.0;5.31987e+06;Q
MC_20220208_153311;2022-02-08T15:33:11;-51.2828;-27.4063;472046.92517363804;6968530.841779208;1.3;234735;Q
