ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20221130_155312;2022-11-30T15:53:12;-49.6848;-27.3227;630121.7181079675;6977132.59928653;1.4;322802;Q
MC_20221130_155123;2022-11-30T15:51:23;-49.7437;-27.1377;624500.4736029153;6997688.489352537;1.3;206981;Q
MC_20221127_080020;2022-11-27T08:00:20;-51.3092;-27.6974;469518.7311571886;6936283.400658432;-0.5;97.2302;I
MC_20221113_095920;2022-11-13T09:59:20;-51.2996;-27.6046;470436.69896364154;6946558.641190721;-0.8;20.6461;I
MC_20221109_170003;2022-11-09T17:00:03;-52.7495;-27.2556;326806.2365628301;6984045.60552917;1.1;90890.5;Q
MC_20221108_183619;2022-11-08T18:36:19;-49.6508;-27.2203;633605.0389551388;6988446.353732031;1.8;2.54936e+06;Q
