ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20220925_205258;2022-09-25T20:52:58;-51.3074;-27.6977;469689.11386333226;6936246.751435069;-0.3;198.985;I
MC_20220924_093026;2022-09-24T09:30:26;-51.3094;-27.6974;469491.1482321788;6936275.284980281;-0.4;161.207;I
MC_20220923_172419;2022-09-23T17:24:19;-51.3061;-27.6981;469817.0230137313;6936207.725816917;-0.1;459.263;I
MC_20220923_154001;2022-09-23T15:40:01;-51.3064;-27.6981;469788.31363983464;6936202.967725748;0.6;9575.02;I
MC_20220922_011339;2022-09-22T01:13:39;-51.3065;-27.6958;469781.847566885;6936456.02101217;-0.0;738.224;I
MC_20220921_155218;2022-09-21T15:52:18;-49.7457;-27.1871;624246.3962085332;6992225.526116256;1.7;1.17279e+06;Q
MC_20220921_062201;2022-09-21T06:22:01;-51.3081;-27.7009;469625.3338706446;6935890.76626901;-1.1;6.15585;I
MC_20220917_193541;2022-09-17T19:35:41;-51.2974;-27.6997;470675.2909151443;6936025.7531113755;0.4;4860.5;I
MC_20220916_150041;2022-09-16T15:00:41;-51.3047;-27.6984;469959.0046502332;6936169.225480377;0.3;2591.4;I
MC_20220911_040155;2022-09-11T04:01:55;-51.3065;-27.6966;469779.12573733786;6936373.346332174;-0.4;136.607;I
MC_20220911_033413;2022-09-11T03:34:13;-51.3084;-27.6981;469595.8077607568;6936206.880870467;-0.4;125.238;I
MC_20220911_003608;2022-09-11T00:36:08;-51.3037;-27.6979;470059.3944204439;6936227.258450958;1.0;74752.4;I
MC_20220910_035711;2022-09-10T03:57:11;-51.3054;-27.6982;469891.11004508834;6936189.203543008;0.1;1201.36;I
MC_20220909_183313;2022-09-09T18:33:13;-51.3063;-27.6983;469799.10242226877;6936180.214306323;0.2;2233.53;I
MC_20220909_181659;2022-09-09T18:16:59;-49.7341;-27.1495;625434.0052017239;6996374.542432828;1.9;3.49069e+06;Q
MC_20220909_154042;2022-09-09T15:40:42;-51.3044;-27.6961;469982.09862669714;6936421.2208883185;-0.1;429.341;I
MC_20220909_082315;2022-09-09T08:23:15;-51.3045;-27.6979;469972.97203958774;6936229.389171096;0.8;27425.3;I
MC_20220908_165536;2022-09-08T16:55:36;-51.3341;-27.6962;467058.7296037789;6936400.730080249;-0.4;147.441;I
MC_20220908_161446;2022-09-08T16:14:46;-51.3049;-27.6996;469938.8336103985;6936032.191793883;-0.6;61.2333;I
MC_20220908_161314;2022-09-08T16:13:14;-51.3038;-27.6978;470045.51858725614;6936232.584508451;-0.3;219.112;I
MC_20220908_003500;2022-09-08T00:35:00;-51.3054;-27.7017;469885.58245641185;6935800.989777861;-0.5;82.1156;I
MC_20220907_171954;2022-09-07T17:19:54;-51.3089;-27.6975;469542.46948425594;6936269.612577518;-0.7;45.3886;I
MC_20220904_004621;2022-09-04T00:46:21;-51.3044;-27.6981;469989.38613701216;6936200.760853019;0.0;949.436;I
MC_20220903_233319;2022-09-03T23:33:19;-51.3034;-27.7019;470089.43971120333;6935778.645464891;-0.5;109.344;I
MC_20220903_233316;2022-09-03T23:33:16;-51.3066;-27.6971;469765.76924062415;6936308.905931665;-0.8;29.1009;I
MC_20220903_141501;2022-09-03T14:15:01;-51.3062;-27.6999;469805.6750640032;6936008.301604684;-0.5;76.1629;I
MC_20220901_013409;2022-09-01T01:34:09;-51.3099;-27.7006;469441.98564519134;6935922.0039853435;-0.5;88.6716;I
