ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20230620_163841;2023-06-20T16:38:41;-49.6295;-27.2337;635701.703119;6986938.23444;2.0;4.06871e+06;Q
gfz2023lsea;2023-06-16T11:22:00;-47.4000;-24.5000;256798.835522;7288301.58028;5.2;4.34826e+12;E
MC_20230612_181829;2023-06-12T18:18:29;-50.1505;-28.0257;583508.886214;6899658.82314;1.6;711607;Q
MC_20230605_081110;2023-06-05T08:11:10;-51.3028;-27.6990;470144.753025;6936103.46712;-0.1;565.769;I
MC_20230602_161249;2023-06-02T16:12:49;-50.6935;-26.9021;530435.984314;7024367.96431;0.9;46103;Q
MC_20230601_155052;2023-06-01T15:50:52;-49.8413;-26.9075;615058.536678;7023283.02497;1.1;88409.1;Q
